30 days,31-60,61-90,91-120,>120 days,sm_type,substr,web_name
732,577,520,405,0,TWO DAY,Both obvious tic,site_5
649,542,433,388,0,TWO DAY,Both obvious tic,site_6
971,775,677,523,0,EXPRESS,Famous skills enact.,site_0
959,758,610,507,0,EXPRESS,Famous skills enact.,site_1
937,761,614,511,0,EXPRESS,Famous skills enact.,site_2
944,767,639,515,0,EXPRESS,Famous skills enact.,site_3
886,707,629,521,0,EXPRESS,Famous skills enact.,site_4
957,746,655,512,0,EXPRESS,Famous skills enact.,site_5
1002,772,635,499,0,EXPRESS,Famous skills enact.,site_6
674,571,447,358,0,LIBRARY,Famous skills enact.,site_0
708,571,487,399,0,LIBRARY,Famous skills enact.,site_1
672,593,499,434,0,LIBRARY,Famous skills enact.,site_2
752,536,485,410,0,LIBRARY,Famous skills enact.,site_3
653,604,495,348,0,LIBRARY,Famous skills enact.,site_4
697,571,505,354,0,LIBRARY,Famous skills enact.,site_5
667,584,483,416,0,LIBRARY,Famous skills enact.,site_6
973,745,598,515,0,NEXT DAY,Famous skills enact.,site_0
963,708,659,500,0,NEXT DAY,Famous skills enact.,site_1
