agg1,agg2,agg3,agg4,g_state,i_item_id,s_state
15.0,92.21,0.0,68.23,0,AAAAAAAAAAANAAAA,SD
15.0,92.21,0.0,68.23,1,AAAAAAAAAAANAAAA,
63.0,76.78,2287.93,66.03,0,AAAAAAAAAABAAAAA,AL
7.0,103.52,91.28,14.49,0,AAAAAAAAAABAAAAA,TN
35.0,90.15,1189.605,40.26,1,AAAAAAAAAABAAAAA,
28.5,65.365,0.0,42.96,0,AAAAAAAAAABABAAA,TN
28.5,65.365,0.0,42.96,1,AAAAAAAAAABABAAA,
58.0,63.18,2616.26,53.7,0,AAAAAAAAAABBAAAA,SD
1.0,173.92,0.0,97.39,0,AAAAAAAAAABBAAAA,TN
29.5,118.55,1308.13,75.545,1,AAAAAAAAAABBAAAA,
47.0,75.66,0.0,48.42,0,AAAAAAAAAABCBAAA,AL
8.0,142.4,445.75,61.23,0,AAAAAAAAAABCBAAA,TN
27.5,109.03,222.875,54.825,1,AAAAAAAAAABCBAAA,
78.5,63.13,0.0,11.02,0,AAAAAAAAAABDAAAA,AL
82.0,63.53,0.0,34.3,0,AAAAAAAAAABDAAAA,SD
79.66666666666667,63.263333333333335,0.0,18.78,1,AAAAAAAAAABDAAAA,
78.0,21.49,0.0,8.38,0,AAAAAAAAAABDBAAA,AL
42.5,23.155,0.0,3.445,0,AAAAAAAAAABDBAAA,TN
54.333333333333336,22.6,0.0,5.09,1,AAAAAAAAAABDBAAA,
4.0,18.42,31.34,10.31,0,AAAAAAAAAABEAAAA,AL
4.0,18.42,31.34,10.31,1,AAAAAAAAAABEAAAA,
78.0,23.57,0.0,22.86,0,AAAAAAAAAABFBAAA,SD
78.0,23.57,0.0,22.86,1,AAAAAAAAAABFBAAA,
31.0,24.88,0.0,12.68,0,AAAAAAAAAABGAAAA,AL
62.0,105.48333333333333,1570.03,67.91666666666667,0,AAAAAAAAAABGAAAA,TN
54.25,85.3325,1177.5225,54.1075,1,AAAAAAAAAABGAAAA,
33.5,78.145,0.0,63.865,0,AAAAAAAAAABGBAAA,AL
33.5,78.145,0.0,63.865,1,AAAAAAAAAABGBAAA,
56.0,177.27,0.0,118.77,0,AAAAAAAAAABHAAAA,TN
56.0,177.27,0.0,118.77,1,AAAAAAAAAABHAAAA,
98.0,63.54,0.0,23.5,0,AAAAAAAAAABIBAAA,SD
98.0,63.54,0.0,23.5,1,AAAAAAAAAABIBAAA,
40.0,62.12,140.86,39.13,0,AAAAAAAAAABJAAAA,TN
40.0,62.12,140.86,39.13,1,AAAAAAAAAABJAAAA,
37.0,89.07,0.0,71.25,0,AAAAAAAAAABKAAAA,SD
17.0,99.41,40.17,6.95,0,AAAAAAAAAABKAAAA,TN
27.0,94.24,20.085,39.1,1,AAAAAAAAAABKAAAA,
53.0,65.34,0.0,52.27,0,AAAAAAAAAABNAAAA,SD
30.0,64.005,0.0,36.845,0,AAAAAAAAAABNAAAA,TN
37.666666666666664,64.45,0.0,41.986666666666665,1,AAAAAAAAAABNAAAA,
12.0,16.32,0.0,3.1,0,AAAAAAAAAABPAAAA,SD
12.0,16.32,0.0,3.1,1,AAAAAAAAAABPAAAA,
89.0,7.67,0.0,2.91,0,AAAAAAAAAACAAAAA,AL
12.0,5.19,0.0,5.03,0,AAAAAAAAAACAAAAA,SD
50.5,6.43,0.0,3.97,1,AAAAAAAAAACAAAAA,
77.0,101.19,0.0,96.13,0,AAAAAAAAAACBBAAA,SD
77.0,101.19,0.0,96.13,1,AAAAAAAAAACBBAAA,
81.0,40.015,0.0,26.24,0,AAAAAAAAAACCAAAA,TN
81.0,40.015,0.0,26.24,1,AAAAAAAAAACCAAAA,
87.0,72.24,0.0,33.95,0,AAAAAAAAAACCBAAA,AL
87.0,72.24,0.0,33.95,1,AAAAAAAAAACCBAAA,
54.0,29.8,0.0,9.53,0,AAAAAAAAAACDAAAA,AL
54.0,29.8,0.0,9.53,1,AAAAAAAAAACDAAAA,
73.0,116.0,4515.13,71.92,0,AAAAAAAAAACEBAAA,AL
73.0,116.0,4515.13,71.92,1,AAAAAAAAAACEBAAA,
47.0,50.43,0.0,9.58,0,AAAAAAAAAACFAAAA,AL
47.0,50.43,0.0,9.58,1,AAAAAAAAAACFAAAA,
68.0,20.78,567.43,17.03,0,AAAAAAAAAACFBAAA,AL
12.0,50.45,0.0,31.27,0,AAAAAAAAAACFBAAA,SD
27.0,54.39,0.0,0.54,0,AAAAAAAAAACFBAAA,TN
35.666666666666664,41.873333333333335,189.14333333333335,16.28,1,AAAAAAAAAACFBAAA,
26.0,111.115,816.19,38.0,0,AAAAAAAAAACGAAAA,AL
71.5,125.71,0.0,93.03,0,AAAAAAAAAACGAAAA,TN
48.75,118.4125,408.095,65.515,1,AAAAAAAAAACGAAAA,
91.0,51.87,0.0,14.52,0,AAAAAAAAAACHBAAA,AL
97.0,98.43,6643.2,96.46,0,AAAAAAAAAACHBAAA,SD
94.0,75.15,3321.6,55.49,1,AAAAAAAAAACHBAAA,
7.0,12.19,0.0,8.53,0,AAAAAAAAAACIAAAA,TN
7.0,12.19,0.0,8.53,1,AAAAAAAAAACIAAAA,
