other_chan_qty,other_chan_sales_price,other_chan_wholesale_cost,ratio,ss_customer_sk,ss_item_sk,ss_sold_year,store_qty,store_sales_price,store_wholesale_cost
83.0,9.15,82.31,0.06,252652,3709,2002,5.0,41.04,47.22
100.0,69.09,60.4,0.46,486710,3763,2002,46.0,17.99,24.62
3.0,9.73,78.41,19.33,159275,3990,2002,58.0,37.66,42.13
46.0,34.4,68.8,1.83,446926,3990,2002,84.0,40.53,47.49
37.0,135.2,58.57,1.24,420107,4053,2002,46.0,46.2,57.92
25.0,40.14,39.21,3.6,433952,4152,2002,90.0,41.11,65.47
46.0,0.99,74.73,1.7,239371,4419,2002,78.0,56.12,35.98
36.0,1.16,9.14,1.42,103640,4429,2002,51.0,0.53,27.59
35.0,33.1,81.73,2.37,112280,4458,2002,83.0,45.13,94.16
26.0,68.92,92.9,3.62,153740,4488,2002,94.0,48.11,81.83
74.0,11.14,30.4,0.3,442547,4513,2002,22.0,11.0,21.47
100.0,46.14,39.04,0.3,237651,4647,2002,30.0,0.42,11.18
21.0,90.67,57.03,4.1,480739,4668,2002,86.0,42.62,54.82
27.0,116.03,59.84,3.07,70736,4819,2002,83.0,71.76,73.42
100.0,25.31,19.33,0.36,109329,5004,2002,36.0,13.91,35.81
52.0,7.97,16.62,1.52,57321,5745,2002,79.0,12.98,23.96
87.0,165.24,89.42,0.05,237013,5893,2002,4.0,15.31,42.08
29.0,32.99,19.25,2.93,119991,5913,2002,85.0,19.06,74.73
19.0,10.27,8.7,3.63,81458,6115,2002,69.0,54.46,83.37
99.0,43.82,40.0,0.98,92245,6153,2002,97.0,66.04,83.05
25.0,0.85,38.17,1.04,207501,6300,2002,26.0,59.16,46.46
79.0,60.31,73.61,0.28,80252,6372,2002,22.0,57.3,97.83
59.0,17.78,14.53,0.32,307646,7113,2002,19.0,59.8,52.5
44.0,137.9,97.15,0.57,412194,7119,2002,25.0,94.98,87.37
94.0,7.13,16.45,0.7,256308,7128,2002,66.0,62.52,46.53
14.0,104.81,63.99,4.0,341122,7227,2002,56.0,28.54,75.61
21.0,63.61,79.12,0.76,197722,7851,2002,16.0,150.87,89.14
91.0,3.76,50.15,0.7,210604,7873,2002,64.0,27.29,24.73
17.0,0.0,20.39,3.82,427458,7933,2002,65.0,30.5,96.29
67.0,172.3,77.67,0.51,417197,8073,2002,34.0,48.44,39.33
54.0,7.39,42.27,1.35,288556,8079,2002,73.0,97.38,80.69
31.0,18.39,64.71,0.1,77919,8241,2002,3.0,4.77,51.89
11.0,72.71,68.59,5.64,405555,8331,2002,62.0,26.53,45.39
21.0,2.44,4.92,0.71,146534,8595,2002,15.0,56.24,55.28
95.0,18.15,13.23,0.52,414221,8679,2002,49.0,14.75,49.93
28.0,33.32,21.41,3.0,336230,8739,2002,84.0,114.87,99.96
95.0,3.97,78.82,0.31,172696,8934,2002,29.0,7.46,5.3
23.0,57.22,82.32,3.39,459400,9009,2002,78.0,26.33,44.05
80.0,0.31,12.84,0.35,21902,9588,2002,28.0,5.97,48.83
75.0,31.12,37.84,1.21,450935,9681,2002,91.0,14.0,16.65
64.0,3.64,88.83,1.14,217263,9685,2002,73.0,24.16,36.57
40.0,90.57,81.98,1.6,423821,9690,2002,64.0,71.51,77.9
81.0,4.22,2.37,0.1,173753,10395,2002,8.0,112.89,97.69
30.0,3.46,2.27,1.07,313808,10525,2002,32.0,143.73,84.95
9.0,79.1,92.48,5.33,244928,10710,2002,48.0,54.42,56.49
37.0,68.95,39.23,0.86,208849,10777,2002,32.0,10.64,21.47
64.0,32.21,30.09,1.33,57104,11107,2002,85.0,37.82,54.03
55.0,27.06,64.59,1.22,175274,11184,2002,67.0,54.54,81.46
42.0,8.34,8.36,1.4,189253,11256,2002,59.0,19.31,55.38
66.0,21.0,17.82,0.5,107587,11475,2002,33.0,19.57,68.54
27.0,60.97,75.7,1.22,148412,11571,2002,33.0,90.09,74.19
77.0,109.4,92.52,0.09,384490,11623,2002,7.0,13.67,10.36
75.0,0.0,57.76,1.15,492726,11677,2002,86.0,0.74,7.72
89.0,32.88,44.73,0.63,492693,11737,2002,56.0,60.52,60.14
36.0,128.49,52.14,1.47,97552,12276,2002,53.0,13.86,92.45
78.0,35.44,97.0,1.17,74555,12279,2002,91.0,59.35,56.53
67.0,42.69,98.24,1.03,146169,12415,2002,69.0,110.29,99.35
100.0,29.74,68.37,0.11,302935,12441,2002,11.0,6.2,4.71
40.0,72.8,36.51,1.25,7203,12591,2002,50.0,57.2,83.68
57.0,61.57,65.68,0.61,394424,12750,2002,35.0,5.24,53.79
28.0,91.24,68.2,1.82,188091,12855,2002,51.0,2.09,19.38
85.0,5.77,18.89,0.42,260110,12961,2002,36.0,13.15,19.43
33.0,52.37,27.8,1.27,476002,12987,2002,42.0,32.67,59.85
61.0,28.5,91.83,0.87,187217,13089,2002,53.0,61.35,40.1
99.0,37.4,30.71,0.54,467345,13381,2002,53.0,54.63,43.73
23.0,21.37,49.85,0.91,231095,13471,2002,21.0,5.33,11.72
80.0,49.73,94.99,1.1,110203,13669,2002,88.0,41.93,59.89
76.0,68.72,83.0,,129259,13929,2002,,,
33.0,85.3,89.08,1.15,43911,13998,2002,38.0,4.83,15.9
43.0,3.59,6.43,0.88,133663,14022,2002,38.0,24.59,52.05
55.0,0.91,6.69,1.49,461212,14161,2002,82.0,23.08,46.64
66.0,4.37,5.91,1.48,475411,14169,2002,98.0,82.56,63.2
