channel,col_name,d_qoy,d_year,i_category,sales_amt,sales_cnt
catalog,cs_ship_customer_sk,4,1998,Jewelry,378981.95,296
catalog,cs_ship_customer_sk,4,1998,Men,342928.12,316
catalog,cs_ship_customer_sk,4,1998,Music,345567.18,307
catalog,cs_ship_customer_sk,4,1998,Shoes,454128.11,322
catalog,cs_ship_customer_sk,4,1998,Sports,399457.8,315
catalog,cs_ship_customer_sk,4,1998,Women,441748.82,306
catalog,cs_ship_customer_sk,4,1998,,12422.05,4
catalog,cs_ship_customer_sk,1,1999,Books,131681.37,117
catalog,cs_ship_customer_sk,1,1999,Children,135276.17,103
catalog,cs_ship_customer_sk,1,1999,Electronics,120168.47,112
catalog,cs_ship_customer_sk,1,1999,Home,80847.94,86
catalog,cs_ship_customer_sk,1,1999,Jewelry,60744.55,82
catalog,cs_ship_customer_sk,1,1999,Men,154877.03,126
catalog,cs_ship_customer_sk,1,1999,Music,182718.11,111
catalog,cs_ship_customer_sk,1,1999,Shoes,111650.84,94
catalog,cs_ship_customer_sk,1,1999,Sports,152025.3,99
catalog,cs_ship_customer_sk,1,1999,Women,167339.6,100
catalog,cs_ship_customer_sk,1,1999,,2092.63,4
catalog,cs_ship_customer_sk,2,1999,Books,164442.01,116
catalog,cs_ship_customer_sk,2,1999,Children,142928.41,87
catalog,cs_ship_customer_sk,2,1999,Electronics,101752.76,90
catalog,cs_ship_customer_sk,2,1999,Home,67816.17,87
catalog,cs_ship_customer_sk,2,1999,Jewelry,106531.07,99
catalog,cs_ship_customer_sk,2,1999,Men,94944.12,108
catalog,cs_ship_customer_sk,2,1999,Music,177482.17,111
catalog,cs_ship_customer_sk,2,1999,Shoes,138027.58,97
catalog,cs_ship_customer_sk,2,1999,Sports,108291.84,95
catalog,cs_ship_customer_sk,2,1999,Women,193796.55,119
catalog,cs_ship_customer_sk,2,1999,,405.28,1
catalog,cs_ship_customer_sk,3,1999,Books,229333.16,197
catalog,cs_ship_customer_sk,3,1999,Children,276611.75,220
catalog,cs_ship_customer_sk,3,1999,Electronics,216447.21,192
catalog,cs_ship_customer_sk,3,1999,Home,243661.11,182
catalog,cs_ship_customer_sk,3,1999,Jewelry,237183.24,207
catalog,cs_ship_customer_sk,3,1999,Men,212638.06,173
catalog,cs_ship_customer_sk,3,1999,Music,265392.0,194
catalog,cs_ship_customer_sk,3,1999,Shoes,325693.12,206
catalog,cs_ship_customer_sk,3,1999,Sports,247657.96,191
catalog,cs_ship_customer_sk,3,1999,Women,257743.52,174
catalog,cs_ship_customer_sk,3,1999,,3024.96,4
catalog,cs_ship_customer_sk,4,1999,Books,417037.25,323
catalog,cs_ship_customer_sk,4,1999,Children,455288.6,338
catalog,cs_ship_customer_sk,4,1999,Electronics,438893.37,352
catalog,cs_ship_customer_sk,4,1999,Home,361537.46,318
catalog,cs_ship_customer_sk,4,1999,Jewelry,404935.84,317
catalog,cs_ship_customer_sk,4,1999,Men,418599.41,328
catalog,cs_ship_customer_sk,4,1999,Music,333356.02,305
catalog,cs_ship_customer_sk,4,1999,Shoes,403787.45,344
catalog,cs_ship_customer_sk,4,1999,Sports,393579.21,316
catalog,cs_ship_customer_sk,4,1999,Women,493174.76,305
catalog,cs_ship_customer_sk,4,1999,,7627.27,8
catalog,cs_ship_customer_sk,1,2000,Books,140732.51,108
catalog,cs_ship_customer_sk,1,2000,Children,145131.75,113
catalog,cs_ship_customer_sk,1,2000,Electronics,173946.27,93
catalog,cs_ship_customer_sk,1,2000,Home,82449.07,82
catalog,cs_ship_customer_sk,1,2000,Jewelry,126587.45,92
catalog,cs_ship_customer_sk,1,2000,Men,144171.16,115
catalog,cs_ship_customer_sk,1,2000,Music,138567.25,112
catalog,cs_ship_customer_sk,1,2000,Shoes,111030.15,85
catalog,cs_ship_customer_sk,1,2000,Sports,137387.64,95
catalog,cs_ship_customer_sk,1,2000,Women,78466.23,100
catalog,cs_ship_customer_sk,1,2000,,126.9,2
catalog,cs_ship_customer_sk,2,2000,Books,181985.88,100
