i_brand,i_category,i_class,i_product_name,qoh
,,,ationesepribareing,454.07003891050584
exportiamalg #2,Women,maternity,antiationn stableable,454.6990099009901
exportiamalg #2,,maternity,antiationn stableable,454.6990099009901
exportiamalg #2,,,antiationn stableable,454.6990099009901
,,,antiationn stableable,454.6990099009901
importoimporto #1,Men,shirts,esecallyprieingese,455.1
importoimporto #1,,shirts,esecallyprieingese,455.1
importoimporto #1,,,esecallyprieingese,455.1
,,,esecallyprieingese,455.1
amalgscholar #2,Music,rock,oughtn stoughteseought,455.55465587044534
amalgscholar #2,,rock,oughtn stoughteseought,455.55465587044534
amalgscholar #2,,,oughtn stoughteseought,455.55465587044534
,,,oughtn stoughteseought,455.55465587044534
amalgunivamalg #6,Electronics,cameras,eingationeingationeing,455.678431372549
amalgunivamalg #6,,cameras,eingationeingationeing,455.678431372549
amalgunivamalg #6,,,eingationeingationeing,455.678431372549
,,,eingationeingationeing,455.678431372549
amalgmaxi #9,Sports,archery,eingoughtantibareing,456.06361829025843
amalgmaxi #9,,archery,eingoughtantibareing,456.06361829025843
amalgmaxi #9,,,eingoughtantibareing,456.06361829025843
,,,eingoughtantibareing,456.06361829025843
brandunivamalg #8,Electronics,personal,eseeseationable,456.4731610337972
brandunivamalg #8,,personal,eseeseationable,456.4731610337972
brandunivamalg #8,,,eseeseationable,456.4731610337972
,,,eseeseationable,456.4731610337972
importoexporti #1,Children,infants,barpriationeinganti,456.6385542168675
importoexporti #1,,infants,barpriationeinganti,456.6385542168675
importoexporti #1,,,barpriationeinganti,456.6385542168675
,,,barpriationeinganti,456.6385542168675
importoedu pack #2,Shoes,mens,oughtesebarablecally,457.2151394422311
importoedu pack #2,,mens,oughtesebarablecally,457.2151394422311
importoedu pack #2,,,oughtesebarablecally,457.2151394422311
,,,oughtesebarablecally,457.2151394422311
amalgimporto #1,Men,accessories,eingoughtn stantiable,457.94176706827307
amalgimporto #1,,accessories,eingoughtn stantiable,457.94176706827307
amalgimporto #1,,,eingoughtn stantiable,457.94176706827307
,,,eingoughtn stantiable,457.94176706827307
exportiamalg #1,Women,maternity,esebarcallyationpri,457.9492900608519
exportiamalg #1,,maternity,esebarcallyationpri,457.9492900608519
exportiamalg #1,,,esebarcallyationpri,457.9492900608519
,,,esebarcallyationpri,457.9492900608519
edu packexporti #2,Children,school-uniforms,ationn steingableanti,458.20355731225294
edu packexporti #2,,school-uniforms,ationn steingableanti,458.20355731225294
edu packexporti #2,,,ationn steingableanti,458.20355731225294
,,,ationn steingableanti,458.20355731225294
exportischolar #1,Music,pop,callyationablecallyeing,458.2449799196787
exportischolar #1,,pop,callyationablecallyeing,458.2449799196787
exportischolar #1,,,callyationablecallyeing,458.2449799196787
,,,callyationablecallyeing,458.2449799196787
importounivamalg #3,Books,home repair,esen stableantin st,458.380198019802
importounivamalg #3,,home repair,esen stableantin st,458.380198019802
importounivamalg #3,,,esen stableantin st,458.380198019802
,,,esen stableantin st,458.380198019802
corpmaxi #5,Sports,golf,esecallyeingn stese,458.64071856287427
corpmaxi #5,,golf,esecallyeingn stese,458.64071856287427
corpmaxi #5,,,esecallyeingn stese,458.64071856287427
,,,esecallyeingn stese,458.64071856287427
importoimporto #2,Men,shirts,antieingantibarese,458.732421875
importoimporto #2,,shirts,antieingantibarese,458.732421875
importoimporto #2,,,antieingantibarese,458.732421875
,,,antieingantibarese,458.732421875
