avg_monthly_sales,d_moy,d_year,i_category,nsum,psum,sum_sales
58802.705,3,2001,Children,32717.8,29372.83,31931.78
57218.738333333335,4,2001,Shoes,31857.89,32391.69,30350.87
56634.4075,2,2001,Women,32190.16,36706.86,29820.74
56634.4075,6,2001,Women,34288.64,32157.96,29847.84
57351.81166666667,2,2001,Children,35609.59,36999.5,30616.04
54890.85833333333,2,2001,Children,32530.5,36256.46,28198.13
57318.81166666667,2,2001,Men,32501.9,35267.26,30667.27
55907.47416666667,2,2001,Shoes,30118.8,36886.52,29273.18
60884.89666666667,6,2001,Children,36890.81,36753.79,34267.84
59805.245,4,2001,Children,34771.99,32062.2,33191.07
58606.589166666665,2,2001,Children,33419.34,36776.2,32001.76
55713.214166666665,2,2001,Women,27572.09,39299.9,29172.87
60156.57833333333,4,2001,Children,32354.6,36710.87,33647.34
59239.785833333335,4,2001,Men,33438.09,32113.55,32734.32
57893.2725,3,2001,Men,32004.09,32273.33,31394.1
55400.39666666667,6,2001,Women,33258.84,33606.96,28921.25
54942.87666666666,7,2001,Women,70355.24,29856.28,28492.48
55303.00166666666,2,2001,Music,32763.63,37232.72,28854.7
59172.35916666667,6,2001,Music,33157.05,38330.04,32737.3
54942.87666666666,2,2001,Women,33220.65,34900.23,28543.42
55907.47416666667,6,2001,Shoes,35119.24,32501.68,29515.43
60428.4825,3,2001,Children,34634.56,30304.3,34043.17
55487.90666666667,2,2001,Children,31588.72,33302.55,29128.41
57255.745,4,2001,Men,34010.57,33910.58,30910.59
59746.09916666667,6,2001,Shoes,35014.02,34491.26,33412.09
56901.653333333335,2,2001,Women,29326.95,34243.78,30571.24
59372.115,3,2001,Shoes,33536.13,31777.23,33048.37
58034.269166666665,5,2001,Shoes,33292.01,32869.76,31745.81
54880.655,2,2001,Women,29299.84,33699.53,28611.91
56157.78083333333,2,2001,Shoes,32963.87,34620.63,29907.1
57308.275,7,2001,Men,77353.91,32160.1,31076.74
58733.14,5,2001,Shoes,33357.08,34386.32,32550.84
55529.53833333333,2,2001,Children,30092.04,38316.23,29358.03
56402.9925,2,2001,Shoes,32902.75,36587.52,30245.38
56033.46,3,2001,Music,33163.6,33174.27,29877.13
59346.85333333333,4,2001,Shoes,34444.97,35127.36,33206.96
58460.66916666667,3,2001,Men,33322.65,28371.18,32351.16
54314.261666666665,2,2001,Children,30754.55,34698.0,28213.79
58802.705,4,2001,Children,33560.04,31931.78,32717.8
59346.85333333333,7,2001,Shoes,77815.92,34019.67,33263.52
58802.705,6,2001,Children,35371.91,33560.04,32724.6
54885.51666666667,2,2001,Music,30436.78,34601.19,28820.4
55195.1375,2,2001,Women,31201.61,36297.23,29150.27
59172.35916666667,7,2001,Music,81122.08,32737.3,33157.05
53994.175,2,2001,Women,29972.17,37688.76,28008.18
