curr_yr_cnt,i_brand_id,i_category_id,i_class_id,i_manufact_id,prev_year,prev_yr_cnt,sales_amt_diff,sales_cnt_diff,year
7973.0,10014003,10,14,115,2001,10307.0,-37816.92,-2334.0,2002
7492.0,10012002,10,12,87,2001,9815.0,-63460.85,-2323.0,2002
9309.0,10009008,10,9,50,2001,11631.0,-42290.45,-2322.0,2002
7703.0,7016001,10,7,999,2001,10021.0,-99946.53,-2318.0,2002
7482.0,10014011,10,14,282,2001,9774.0,-128106.53,-2292.0,2002
7130.0,2003001,10,3,73,2001,9422.0,-110752.76,-2292.0,2002
8388.0,10003003,10,4,329,2001,10673.0,-86587.07,-2285.0,2002
7638.0,10005017,10,5,3,2001,9921.0,-202455.76,-2283.0,2002
8310.0,10011008,10,11,589,2001,10589.0,-113454.5,-2279.0,2002
7345.0,3003001,10,3,116,2001,9603.0,-46206.45,-2258.0,2002
7752.0,10010011,10,10,67,2001,10007.0,-158885.73,-2255.0,2002
8644.0,10007016,10,7,168,2001,10880.0,-273441.42,-2236.0,2002
8859.0,4002001,10,2,490,2001,11093.0,-59470.32,-2234.0,2002
7826.0,10006012,10,6,264,2001,10043.0,-131665.97,-2217.0,2002
8175.0,10016005,10,16,592,2001,10392.0,-93073.39,-2217.0,2002
6954.0,10006007,10,6,662,2001,9165.0,-72544.13,-2211.0,2002
8027.0,10005008,10,5,249,2001,10237.0,-126230.3,-2210.0,2002
7908.0,10009002,10,9,606,2001,10118.0,-105210.25,-2210.0,2002
7758.0,4002001,10,2,270,2001,9960.0,-76377.36,-2202.0,2002
7387.0,10012015,10,12,126,2001,9576.0,-57506.37,-2189.0,2002
7774.0,10004015,10,4,55,2001,9961.0,-79952.27,-2187.0,2002
8733.0,10001015,10,1,219,2001,10913.0,-140215.13,-2180.0,2002
7230.0,6006005,10,6,469,2001,9404.0,-90148.84,-2174.0,2002
8052.0,10012005,10,12,264,2001,10206.0,-80744.56,-2154.0,2002
7896.0,10005003,10,5,57,2001,10036.0,-70055.11,-2140.0,2002
8143.0,10016016,10,4,820,2001,10277.0,-113973.65,-2134.0,2002
7736.0,10005012,10,1,451,2001,9859.0,-147637.79,-2123.0,2002
7335.0,10010005,10,1,16,2001,9458.0,-94825.74,-2123.0,2002
8038.0,10005011,10,5,2,2001,10155.0,-110400.13,-2117.0,2002
8730.0,10006015,10,6,193,2001,10842.0,-56923.69,-2112.0,2002
7894.0,10007016,10,7,261,2001,10005.0,-91691.06,-2111.0,2002
8106.0,10012007,10,12,113,2001,10213.0,-53516.41,-2107.0,2002
