c_custkey,c_name,o_orderdate,o_orderkey,o_totalprice,sum
11156284,Customer#011156284,1992-06-29,13165024,514340.51,318.0
11118121,Customer#011118121,1997-04-16,206102083,513923.76,325.0
9433216,Customer#009433216,1997-03-18,220925955,512925.27,320.0
7725865,Customer#007725865,1995-11-02,94731687,512870.99,318.0
3365104,Customer#003365104,1992-02-28,65667072,512297.26,318.0
14030413,Customer#014030413,1997-10-24,404690113,512201.47,316.0
2921743,Customer#002921743,1994-10-09,413034240,512072.54,315.0
4865728,Customer#004865728,1994-02-22,531875906,511999.47,318.0
6086564,Customer#006086564,1992-10-04,340015552,511890.43,321.0
11838559,Customer#011838559,1995-08-12,563527491,511667.43,315.0
9026041,Customer#009026041,1995-10-21,85901154,511512.95,318.0
7818682,Customer#007818682,1992-09-29,440619269,511358.88,333.0
3413005,Customer#003413005,1994-05-08,156311557,511284.58,316.0
11330900,Customer#011330900,1997-05-11,580937539,511148.45,316.0
2846242,Customer#002846242,1995-01-04,308731076,511014.71,321.0
1278329,Customer#001278329,1996-06-22,389324645,510104.63,326.0
2023573,Customer#002023573,1994-10-28,73978176,509480.1,319.0
8477261,Customer#008477261,1995-07-27,330946144,509434.0,316.0
2740603,Customer#002740603,1995-10-14,296098691,509311.75,315.0
12429175,Customer#012429175,1995-09-20,49847329,509165.29,319.0
