avg_monthly_sales,d_moy,d_year,i_category,nsum,psum,sum_sales
553601.9575,2,2001,Music,320670.74,357747.72,298945.73
545717.7475,2,2001,Children,311470.74,348328.35,291103.5
563913.14,2,2001,Shoes,320796.83,361213.92,309706.66
541591.0325,2,2001,Women,304980.3,352962.53,287570.29
542857.0658333333,2,2001,Shoes,307829.34,350774.53,288858.49
536909.1866666666,2,2001,Children,302687.63,350167.08,283107.62
546661.7808333334,2,2001,Music,318567.09,347586.98,292909.69
542836.3408333333,2,2001,Music,301372.99,348847.99,289091.99
545187.6691666667,2,2001,Men,314505.25,341479.83,291545.58
585847.5208333334,6,2001,Children,335091.33,344948.5,332395.31
581504.7933333333,3,2001,Children,337245.95,307672.92,328350.58
538001.1058333333,2,2001,Men,305765.7,352206.53,284894.2
549581.3933333333,2,2001,Men,310978.73,352870.36,296511.59
547383.89,2,2001,Children,303322.02,341383.21,294462.39
558231.8158333333,4,2001,Women,328567.7,329942.89,305359.2
542902.5758333333,2,2001,Men,311221.83,347693.29,290096.02
574348.9908333333,3,2001,Shoes,331006.06,306310.81,322184.51
538999.3708333333,2,2001,Women,316023.07,345787.68,287408.69
546745.17,2,2001,Women,312253.41,339676.2,295191.48
585847.5208333334,3,2001,Children,337292.02,309118.0,334372.25
572711.4308333333,4,2001,Shoes,333193.45,316177.28,321648.41
568775.2241666666,4,2001,Shoes,341602.06,328427.72,317971.0
585847.5208333334,7,2001,Children,764552.26,332395.31,335091.33
541877.7266666667,2,2001,Women,310501.42,354447.62,291557.12
549227.175,2,2001,Shoes,310274.52,347908.74,299041.7
527979.4191666667,2,2001,Children,301333.28,348994.7,277844.35
587231.7066666667,6,2001,Children,349172.11,350081.45,337120.33
537852.8525,2,2001,Men,297151.93,344940.97,287747.14
534229.9841666666,2,2001,Shoes,305128.5,344615.06,284680.22
544065.5483333333,2,2001,Women,306376.47,355991.71,295254.79
539570.2958333333,2,2001,Women,309934.81,345878.49,290857.21
585847.5208333334,4,2001,Children,344948.5,334372.25,337292.02
532213.2708333334,2,2001,Music,297530.35,340263.33,283678.11
539652.7633333333,2,2001,Men,308750.41,349639.97,291801.14
541665.7141666666,2,2001,Music,311493.33,336999.89,294034.12
527273.0458333333,2,2001,Music,303342.27,337790.95,279708.31
534417.3866666667,2,2001,Shoes,304446.96,343841.68,287100.83
564565.9791666666,3,2001,Children,325727.51,292949.08,317414.04
528052.4566666667,2,2001,Shoes,297562.82,338523.13,280978.29
