b_city,b_street_name,b_street_number,b_zip,c_city,c_street_name,c_street_number,c_zip,cnt,cnt2,cs1_year,cs2_year,product_name,s11,s12,s21,s22,s31,s32,store_name,store_zip
Summit,2nd 3rd,742,10499,White Oak,Railroad 1st,612,46668,1,1,2000,2001,antiablepriableought,91.26,57.02,104.03,72.41,0.0,0.0,eing,35281
Walnut Grove,15th Center,766,77752,Farmington,Spruce ,30,29145,1,1,2000,2001,antiablepriableought,48.98,49.96,66.12,51.95,0.0,0.0,ese,28048
Clifton,Main Locust,373,58014,Five Forks,7th Fourth,709,72293,1,1,2000,2001,antiablepriableought,72.35,49.96,143.97,51.95,2795.39,0.0,ese,28048
Walnut Grove,8th ,651,87752,Clinton,West Hill,527,68222,1,1,2000,2001,antiablepriableought,67.08,20.03,83.17,36.85,0.0,0.0,n st,52477
Cedar,Cedar ,816,51229,Hamilton,4th Sycamore,968,32808,1,1,2000,2001,antiantiableantipri,3.95,95.56,6.08,103.2,0.0,0.0,able,73451
Buena Vista,College ,863,65752,Lenox,Lake Church,836,21143,1,1,2000,2001,antiantiableantipri,13.18,85.07,19.24,142.91,229.5,1873.89,able,33451
Sulphur Springs,Valley Williams,540,18354,Oak Hill,Sunset ,397,47838,1,1,2000,2001,antiantiableantipri,34.59,21.63,38.39,40.88,2254.12,0.0,able,31904
Sulphur Springs,Valley Williams,540,18354,Oak Hill,Sunset ,397,47838,1,1,2000,2001,antiantiableantipri,34.59,82.1,38.39,110.01,2254.12,0.0,able,31904
Pine Grove,East Oak,326,74593,Oakdale,Madison Park,461,69584,1,1,2000,2001,antiantiableantipri,26.6,25.43,41.76,36.11,0.0,0.0,anti,44136
Spring Valley,Spring Hill,383,66060,Friendship,Jackson ,339,74536,1,1,2000,2001,antiantiableantipri,38.53,9.13,43.53,13.96,118.75,0.0,cally,32477
Spring Valley,Spring Hill,383,66060,Friendship,Jackson ,339,74536,1,1,2000,2001,antiantiableantipri,38.53,58.27,43.53,89.73,118.75,0.0,cally,32477
Mount Olive,Park ,682,78059,Shiloh,7th First,911,69275,1,1,2000,2001,antiantiableantipri,74.83,39.15,129.45,43.45,0.0,0.0,cally,58048
Guilford,Washington ,671,84408,Florence,Jefferson 3rd,398,63394,1,1,2000,2001,antiantiableantipri,94.33,67.19,139.6,88.01,0.0,0.0,cally,52477
Waterloo,Cedar ,205,41675,Concord,Ninth North,615,44107,1,1,2000,2001,antiantiableantipri,54.84,43.13,79.51,79.35,0.0,325.15,eing,79231
,11th ,319,48605,,,,38482,1,1,2000,2001,antiantiableantipri,5.92,64.08,5.92,128.16,191.84,0.0,ese,58048
Glendale,Chestnut Broadway,195,23951,Concord,College ,568,34107,1,1,2000,2001,antiantiableantipri,13.94,62.37,19.23,101.66,0.0,0.0,ese,35281
Mount Olive,North 2nd,942,28059,Wildwood,Sycamore Laurel,519,76871,1,1,2000,2001,antiantiableantipri,26.11,3.47,50.65,4.85,0.0,110.95,ese,33451
Mount Olive,North 2nd,942,28059,Wildwood,Sycamore Laurel,519,76871,1,1,2000,2001,antiantiableantipri,26.11,26.52,50.65,36.33,0.0,0.0,ese,33451
Fisher,15th ,269,72819,Oak Hill,Ash ,72,47838,1,1,2000,2001,antiantiableantipri,61.87,30.96,122.5,59.44,0.0,1000.73,ese,36098
Fisher,15th ,269,72819,Oak Hill,Ash ,72,47838,1,1,2000,2001,antiantiableantipri,61.87,90.17,122.5,173.12,0.0,0.0,ese,36098
Lincoln,West Ash,747,81289,Pleasant Valley,Sixth Hickory,277,22477,1,1,2000,2001,antiantiableantipri,82.27,30.96,120.93,59.44,0.0,1000.73,ese,36098
Lincoln,West Ash,747,81289,Pleasant Valley,Sixth Hickory,277,22477,1,1,2000,2001,antiantiableantipri,82.27,90.17,120.93,173.12,0.0,0.0,ese,36098
Wildwood,Elm ,342,66871,Stringtown,,910,,1,1,2000,2001,antiantiableantipri,47.23,45.86,64.7,54.57,0.0,0.0,ought,22477
,Jefferson West,394,,Antioch,Lincoln ,763,38605,1,1,2000,2001,antiantieseoughtese,57.65,27.47,95.12,50.54,0.0,0.0,ation,35709
,Jefferson West,394,,Antioch,Lincoln ,763,38605,1,1,2000,2001,antiantieseoughtese,57.65,33.37,95.12,44.38,0.0,0.0,ation,35709
Sunnyside,Willow ,325,71952,Sulphur Springs,2nd ,611,88354,1,1,2000,2001,antiantieseoughtese,70.91,27.47,75.16,50.54,0.0,0.0,ation,35709
Sunnyside,Willow ,325,71952,Sulphur Springs,2nd ,611,88354,1,1,2000,2001,antiantieseoughtese,70.91,33.37,75.16,44.38,0.0,0.0,ation,35709
Union,Jefferson 4th,423,78721,Marion,13th Lake,887,50399,1,1,2000,2001,antiantieseoughtese,92.18,11.15,152.09,15.05,0.0,169.4,bar,58828
Wilson,3rd Hill,351,56971,Bridgeport,9th ,148,65817,1,1,2000,2001,antiantieseoughtese,46.69,42.72,78.9,57.24,1906.22,0.0,cally,32477
Wilson,3rd Hill,351,56971,Bridgeport,9th ,148,65817,1,1,2000,2001,antiantieseoughtese,46.69,69.23,78.9,96.22,1906.22,0.0,cally,32477
Quincy,Lake North,672,83868,Fox,Main Fifth,338,60631,1,1,2000,2001,antiantieseoughtese,42.01,22.36,63.01,32.19,0.0,0.0,ese,48721
Harmony,Oak Cedar,684,45804,Pleasant Valley,Lake 4th,932,62477,1,1,2000,2001,antiantieseoughtese,85.61,39.73,134.4,76.28,0.0,0.0,ese,36098
Deerfield,Mill Second,620,79840,Enterprise,Forest ,605,51757,1,1,2000,2001,antiantieseoughtese,3.93,92.19,6.4,153.95,0.0,0.0,pri,28048
Springdale,Elm ,980,78883,Springfield,5th ,393,89303,1,1,2000,2001,antiationoughtantiationought,46.4,16.7,62.17,29.39,0.0,0.0,able,35281
Phoenix,Valley ,638,62276,Oak Ridge,Oak Main,392,48371,1,1,2000,2001,antiationoughtantiationought,51.44,27.31,94.64,48.61,436.92,0.0,anti,44136
Antioch,13th ,627,48605,Friendship,Madison ,499,84536,1,1,2000,2001,antiationoughtantiationought,62.93,78.27,122.08,147.14,0.0,0.0,bar,78048
Midway,Thirteenth ,310,41904,Bethel,College ,719,45281,1,1,2000,2001,antiationoughtantiationought,41.87,97.79,72.43,115.39,0.0,0.0,cally,38370
Hopewell,Laurel ,585,20587,Sunnyside,Park 2nd,406,61952,1,1,2000,2001,antiationoughtantiationought,15.22,2.82,26.02,5.16,346.58,0.0,eing,45709
Belmont,Lee ,908,40191,Sunnyside,Valley ,622,51952,1,1,2000,2001,antiationoughtantiationought,54.68,72.14,89.12,128.4,0.0,0.0,ese,48721
Youngstown,Smith Pine,737,30001,Oak Ridge,10th Mill,46,58371,1,1,2000,2001,antiationoughtantiationought,99.77,62.63,135.68,102.71,0.0,0.0,n st,78721
Mount Pleasant,1st 3rd,442,71933,Georgetown,East 5th,169,77057,1,1,2000,2001,anticallyanticallyn st,9.54,87.73,12.59,121.94,0.0,0.0,anti,31904
Riverside,Cherry ,378,79231,Oakdale,Pine ,106,59584,1,1,2000,2001,anticallyanticallyn st,42.55,78.08,57.86,83.54,0.0,0.0,bar,43451
Woodlawn,5th Lakeview,884,44098,Post Oak,View Park,341,28567,1,1,2000,2001,anticallyanticallyn st,9.35,82.81,12.99,121.73,1.87,5845.7,cally,32477
Franklin,Cedar Washington,629,79101,Greenville,8th ,823,61387,1,1,2000,2001,anticallyanticallyn st,12.99,82.81,20.0,121.73,0.0,5845.7,cally,32477
Enterprise,Sixth Spring,795,41757,Union Hill,Park ,414,67746,1,1,2000,2001,anticallyanticallyn st,40.6,2.22,57.24,4.39,0.0,0.0,cally,21904
Brownsville,Oak Center,859,79310,Greenville,6th Park,404,21387,1,1,2000,2001,anticallyanticallyn st,37.31,26.49,45.14,36.29,0.0,0.0,pri,38828
Providence,Maple 12th,658,36614,Mountain View,Forest Lake,860,74466,1,1,2000,2001,antieingbarbarpri,69.53,91.83,87.6,181.82,1618.8,0.0,able,48828
,11th Fifth,327,,Woodlawn,Locust 1st,476,74098,1,1,2000,2001,antieingbarbarpri,42.41,36.04,83.54,63.07,0.0,0.0,anti,79431
Woodland,Green ,787,54854,Clifton,Hillcrest ,328,58014,1,1,2000,2001,antieingbarbarpri,43.31,4.87,80.12,5.01,0.0,0.0,eing,79231
Woodland,Green ,787,54854,Clifton,Hillcrest ,328,58014,1,1,2000,2001,antieingbarbarpri,43.31,46.84,80.12,70.72,0.0,0.0,eing,79231
Nichols,Lincoln Hill,284,27940,Mechanicsburg,Smith ,753,32219,1,1,2000,2001,antieingbarbarpri,85.1,6.53,131.9,8.03,0.0,311.23,eing,73604
Five Points,4th Spruce,720,36098,Florence,Poplar ,834,33394,1,1,2000,2001,antieseprioughtation,40.85,63.27,69.03,74.02,0.0,0.0,ation,42477
Pleasant Valley,12th 1st,52,32477,Mount Zion,Cherry ,439,58054,1,1,2000,2001,antieseprioughtation,44.65,51.82,67.86,72.54,0.0,0.0,bar,78721
Plainview,1st Maple,329,33683,Clifton,10th Cedar,289,78014,1,1,2000,2001,antieseprioughtation,42.47,60.29,50.96,67.52,605.91,0.0,eing,78048
Woodlawn,14th ,346,74098,Mount Olive,5th Smith,981,28059,1,1,2000,2001,antieseprioughtation,46.1,85.81,81.13,145.87,0.0,0.0,eing,35281
,Washington ,,79431,Hillcrest,Davis Pine,909,53003,1,1,2000,2001,antieseprioughtation,52.82,85.81,76.58,145.87,0.0,0.0,eing,35281
Lakeview,7th ,415,98579,Bunker Hill,8th Mill,342,70150,1,1,2000,2001,antieseprioughtation,74.43,45.61,84.1,70.69,0.0,0.0,eing,49231
Spring Hill,Davis ,454,56787,Unionville,Poplar ,631,41711,1,1,2000,2001,antieseprioughtation,99.91,29.29,104.9,52.13,0.0,0.0,ese,33604
Kingston,Third ,574,74975,Liberty,Hill Green,304,73451,1,1,2000,2001,antieseprioughtation,13.98,92.09,19.01,93.93,0.0,0.0,ought,63604
,1st ,,67292,Pine Grove,Railroad Valley,362,24593,1,1,2000,2001,antin stn stableought,10.34,5.18,17.88,8.85,0.0,0.0,ation,39431
White Oak,Maple ,387,56668,Fairfield,6th ,345,56192,1,1,2000,2001,antin stn stableought,75.46,19.14,122.24,23.35,7913.81,0.0,bar,61933
White Oak,Maple ,387,56668,Fairfield,6th ,345,56192,1,1,2000,2001,antin stn stableought,75.46,68.6,122.24,91.23,7913.81,0.0,bar,61933
Fairview,Madison Miller,854,15709,Five Points,1st 15th,292,26098,1,1,2000,2001,antin stn stableought,84.51,37.77,121.69,70.25,234.54,0.0,bar,58828
Edgewater,Oak ,408,50635,Salem,8th ,446,28048,1,1,2000,2001,antin stn stableought,21.35,61.52,28.18,91.04,0.0,0.0,cally,32477
Valley View,Maple ,892,65124,,6th 2nd,669,,1,1,2000,2001,antin stn stableought,51.64,28.92,78.49,50.03,0.0,96.28,ese,48721
Valley View,Maple ,892,65124,,6th 2nd,669,,1,1,2000,2001,antin stn stableought,51.64,66.59,78.49,80.57,0.0,0.0,ese,48721
Walnut Grove,Maple ,807,67752,Union,5th ,587,28721,1,1,2000,2001,antin stn stableought,87.86,45.73,138.81,64.47,12.25,0.0,ese,36098
Collinsville,View Green,670,62459,Mount Zion,Fourth Broadway,51,88054,1,1,2000,2001,antin stn stableought,42.14,73.96,54.36,86.53,78.72,0.0,n st,42812
Providence,Cherry ,215,96614,Maple Grove,Hill ,498,68252,1,1,2000,2001,antin stn stableought,3.39,39.21,4.64,54.1,0.0,0.0,pri,38828
Salem,First Washington,886,28048,Oakdale,Seventh ,270,29584,1,1,2000,2001,antioughtcallyantically,70.63,43.11,89.7,65.52,0.0,0.0,able,35281
Salem,First Washington,886,28048,Oakdale,Seventh ,270,29584,1,1,2000,2001,antioughtcallyantically,70.63,71.46,89.7,72.17,0.0,0.0,able,35281
Sulphur Springs,3rd ,936,78354,Macedonia,2nd Maple,436,41087,1,1,2000,2001,antioughtcallyantically,43.85,59.82,77.17,61.61,0.0,0.0,ation,35709
Shady Grove,Willow Lincoln,,,Buena Vista,First Johnson,347,55752,1,1,2000,2001,antioughtcallyantically,45.45,44.01,47.26,69.09,0.0,0.0,bar,43604
Franklin,Washington Main,700,29101,Glenwood,West Hill,208,23511,1,1,2000,2001,antioughtcallyantically,33.38,41.88,63.08,62.82,0.0,395.55,cally,72477
Riverdale,Sycamore ,896,19391,New Hope,Highland Cedar,165,99431,1,1,2000,2001,antioughtcallyantically,72.34,79.95,100.55,80.74,0.0,0.0,eing,35709
Greenville,Oak Main,900,31387,Riverdale,Spring 1st,746,19391,1,1,2000,2001,antiprin stationeseought,74.2,18.63,76.42,19.18,47.31,260.47,able,46098
Greenville,Oak Main,900,31387,Riverdale,Spring 1st,746,19391,1,1,2000,2001,antiprin stationeseought,74.2,37.19,76.42,42.76,47.31,0.0,able,46098
Jackson,Second ,978,09583,Friendship,Miller Mill,145,44536,1,1,2000,2001,antiprin stationeseought,87.41,4.0,166.95,5.04,0.0,0.0,able,35281
Plainview,Cedar Fourth,821,63683,Ogden,Oak ,171,70193,1,1,2000,2001,antiprin stationeseought,89.67,4.0,112.98,5.04,0.0,0.0,able,35281
Pine Grove,Maple ,503,64593,Deerfield,College Washington,307,49840,1,1,2000,2001,antiprin stationeseought,48.21,44.39,92.08,72.35,1007.93,783.4,anti,32477
Jamestown,Main ,954,96867,Union,Meadow 1st,105,68721,1,1,2000,2001,antiprin stationeseought,48.12,79.93,51.96,133.48,0.0,3710.48,bar,58828
Gravel Hill,Locust Second,924,91944,Glendale,South ,804,23951,1,1,2000,2001,antiprin stationeseought,93.11,6.71,134.07,12.34,0.0,0.0,bar,32477
Gravel Hill,Locust Second,924,91944,Glendale,South ,804,23951,1,1,2000,2001,antiprin stationeseought,93.11,11.27,134.07,15.66,0.0,0.0,bar,32477
Gravel Hill,Locust Second,924,91944,Glendale,South ,804,23951,1,1,2000,2001,antiprin stationeseought,93.11,67.55,134.07,76.33,0.0,0.0,bar,32477
Lawrenceville,Third ,240,74462,Spring Valley,Fifth Third,366,86060,1,1,2000,2001,antiprin stationeseought,62.96,58.43,105.14,99.91,34.34,0.0,eing,62812
Newport,Spruce ,261,31521,Waterloo,View ,213,41675,1,1,2000,2001,antiprin stationeseought,66.66,62.05,70.65,76.32,0.0,0.0,n st,42812
Kingston,1st 11th,631,34975,Ashland,Main ,303,24244,1,1,2000,2001,antiprin stationeseought,17.37,40.65,18.75,78.45,514.8,0.0,ought,38828
Woodland,View Jefferson,734,64854,Hillcrest,Hickory Dogwood,693,33003,1,1,2000,2001,antipripriationeing,15.89,32.4,30.66,33.04,0.0,0.0,able,61904
Arlington,Meadow 5th,80,46557,Sulphur Springs,Cherry ,535,68354,1,1,2000,2001,antipripriationeing,99.26,72.53,141.94,105.16,0.0,0.0,able,36098
Marion,Hill Washington,296,20399,Unionville,First ,528,41711,1,1,2000,2001,antipripriationeing,48.05,80.96,82.16,131.96,0.0,0.0,anti,31904
Crossroads,First ,831,50534,Mount Olive,Washington ,609,78059,1,1,2000,2001,antipripriationeing,24.43,38.04,26.14,48.31,0.0,41.03,bar,39431
Crossroads,First ,831,50534,Mount Olive,Washington ,609,78059,1,1,2000,2001,antipripriationeing,24.43,58.78,26.14,80.52,0.0,0.0,bar,39431
Pleasant Hill,Pine Birch,809,13604,King,Poplar Lake,763,60008,1,1,2000,2001,antipripriationeing,43.57,25.02,83.65,41.78,1233.9,0.0,bar,36098
Pleasant Hill,Pine Birch,809,13604,King,Poplar Lake,763,60008,1,1,2000,2001,antipripriationeing,43.57,25.23,83.65,47.68,1233.9,0.0,bar,36098
Red Hill,West Hill,267,44338,Monterey,4th Main,221,94106,1,1,2000,2001,antipripriationeing,82.54,94.97,161.77,124.41,0.0,0.0,bar,42812
Pleasant Valley,Poplar Oak,699,52477,Farmington,Highland ,324,29145,1,1,2000,2001,antipripriationeing,55.43,21.21,98.11,41.14,0.0,885.5,eing,40059
Shiloh,Center ,871,59275,Newtown,Lake 2nd,703,71749,1,1,2000,2001,antipripriationeing,41.01,40.48,75.04,75.69,4.72,0.0,n st,48370
Franklin,9th Cedar,658,39101,Five Forks,Third ,16,52293,1,1,2000,2001,antipripriationeing,84.3,96.75,148.36,138.35,0.0,0.0,n st,42812
Quincy,Oak Jackson,616,43868,Salem,Church Walnut,108,58048,1,1,2000,2001,antipriprieingation,18.94,67.71,32.38,116.46,0.0,0.0,able,51904
Jamestown,5th ,747,96867,Rankin,Ninth ,341,52621,1,1,2000,2001,antipriprieingation,22.64,63.96,38.94,108.73,0.0,229.63,able,35281
White Oak,3rd ,750,66668,Plainview,Park ,742,83683,1,1,2000,2001,antipriprieingation,64.73,28.94,128.81,35.3,0.0,0.0,anti,31904
,,,26798,Bunker Hill,Pine Cherry,310,00750,1,1,2000,2001,antipriprieingation,86.55,99.58,112.51,126.46,0.0,0.0,ation,41904
Providence,Walnut First,554,16614,Lakeside,South ,790,69532,1,1,2000,2001,antipriprieingation,4.98,13.73,5.52,20.59,0.0,0.0,cally,38828
Lakeview,9th ,779,68579,,,884,,1,1,2000,2001,ationantioughtbarn st,91.08,93.62,132.06,170.38,0.0,0.0,anti,32477
Oak Hill,2nd ,392,67838,Winslow,Chestnut ,268,68525,1,1,2000,2001,ationantioughtbarn st,5.67,69.1,8.1,70.48,0.0,1585.96,cally,38370
Pleasant Hill,4th ,798,33604,Hopewell,Franklin ,47,20587,1,1,2000,2001,ationantioughtbarn st,26.76,27.75,41.47,53.55,0.0,0.0,cally,32477
Five Forks,Ridge Jackson,309,22293,Unionville,Sunset ,30,02311,1,1,2000,2001,ationantioughtbarn st,26.87,55.8,50.51,68.63,333.9,0.0,eing,48721
Arlington,Pine ,229,46557,Maple Grove,Elm ,306,48252,1,1,2000,2001,ationantioughtbarn st,69.53,7.29,92.47,12.83,844.11,0.0,eing,45709
Liberty,South ,792,23451,Lakewood,5th ,20,68877,1,1,2000,2001,ationantioughtbarn st,84.99,75.71,150.43,125.67,0.0,0.0,ese,33604
Woodland,Lee ,650,84854,,East ,886,35281,1,1,2000,2001,ationantioughtbarn st,29.37,34.5,45.52,41.4,523.8,0.0,ought,78048
Woodland,Lee ,650,84854,,East ,886,35281,1,1,2000,2001,ationantioughtbarn st,29.37,44.97,45.52,47.66,523.8,0.0,ought,78048
Red Hill,6th ,557,44338,Sleepy Hollow,Maple ,416,53592,1,1,2000,2001,ationationcallycallyanti,49.32,23.9,70.03,37.76,0.0,0.0,anti,59843
Five Forks,12th Elm,18,32293,Oakland,Washington ,107,29843,1,1,2000,2001,ationationcallycallyanti,28.93,5.99,50.62,6.52,0.0,80.1,ation,39843
Pleasant Valley,Davis ,588,12477,Woodville,Adams ,91,84289,1,1,2000,2001,ationationcallycallyanti,72.07,35.42,85.04,47.1,25.2,0.0,bar,31933
Marion,Third ,47,50399,Plainview,Chestnut ,742,53683,1,1,2000,2001,ationationcallycallyanti,82.3,6.04,87.23,6.88,0.0,0.0,bar,43451
Marion,Third ,47,50399,Plainview,Chestnut ,742,53683,1,1,2000,2001,ationationcallycallyanti,82.3,53.27,87.23,74.04,0.0,1614.9,bar,43451
Union Hill,Second ,14,27746,Sunnyside,Second ,810,11952,1,1,2000,2001,ationationcallycallyanti,16.5,89.38,24.75,144.79,0.0,0.0,cally,68721
Mountain View,Elm ,465,05066,Providence,Hickory Main,293,07214,1,1,2000,2001,ationationcallycallyanti,69.5,89.89,108.42,131.23,0.0,0.0,cally,73604
Oak Hill,Hickory Spring,386,67838,Riverside,Cedar ,196,29231,1,1,2000,2001,ationationcallycallyanti,58.62,46.29,103.75,91.19,0.0,0.0,ese,74136
Wildwood,Second ,787,26871,Sulphur Springs,Jackson Woodland,413,08954,1,1,2000,2001,ationationcallycallyanti,69.28,66.93,108.07,104.41,0.0,0.0,ese,33451
Oak Grove,Sixth ,514,98370,White City,Park Birch,286,66704,1,1,2000,2001,ationbarn steingn stought,12.99,65.39,16.36,128.16,0.0,4594.65,able,35281
Hubbard,Park 2nd,742,06891,White Oak,Central ,896,56668,1,1,2000,2001,ationbarn steingn stought,21.69,65.39,28.19,128.16,494.81,4594.65,able,35281
Five Forks,Dogwood Cedar,870,42293,Antioch,Fourteenth Oak,8,78605,1,1,2000,2001,ationbarn steingn stought,51.03,27.76,56.64,43.58,0.0,0.0,able,53604
Oakland,Cedar ,943,99843,Crossroads,Dogwood ,86,70534,1,1,2000,2001,ationbarn steingn stought,87.75,65.39,128.11,128.16,0.0,4594.65,able,35281
Florence,Williams ,839,73394,Oakwood,Smith Hickory,8,60169,1,1,2000,2001,ationbarn steingn stought,20.3,89.53,36.74,130.71,332.52,0.0,ation,39431
,,,95423,Walnut,2nd ,125,16245,1,1,2000,2001,ationbarn steingn stought,52.16,88.85,99.1,175.92,0.0,0.0,ation,39843
Glenwood,Locust ,968,53511,Lakeview,Ridge ,329,78579,1,1,2000,2001,ationbarn steingn stought,57.53,88.85,74.21,175.92,0.0,0.0,ation,39843
Antioch,Adams ,675,78605,Oakwood,Sycamore ,607,80169,1,1,2000,2001,ationbarn steingn stought,55.63,77.97,108.47,128.65,1299.44,0.0,bar,73604
Acme,2nd ,365,70164,Red Hill,Cherry 10th,317,04938,1,1,2000,2001,ationbarn steingn stought,88.47,41.26,168.97,56.11,0.0,0.0,bar,58828
Stringtown,Ridge ,758,20162,Spring Valley,North ,760,56060,1,1,2000,2001,ationbarn steingn stought,29.67,47.87,45.39,63.18,0.0,0.0,cally,32477
Brownsville,4th ,768,79310,Glenwood,Lee Park,547,33511,1,1,2000,2001,ationbarn steingn stought,69.69,22.23,82.93,42.9,0.0,0.0,ese,25281
Brownsville,4th ,768,79310,Glenwood,Lee Park,547,33511,1,1,2000,2001,ationbarn steingn stought,69.69,36.2,82.93,48.14,0.0,0.0,ese,25281
Hamilton,Williams ,414,72808,Salem,West Lake,21,38048,1,1,2000,2001,ationbarn steingn stought,96.24,38.83,112.6,49.31,0.0,0.0,n st,61933
Hamilton,Williams ,414,72808,Salem,West Lake,21,38048,1,1,2000,2001,ationbarn steingn stought,96.24,85.1,112.6,154.88,0.0,47.83,n st,61933
Newtown,Franklin ,420,21749,Newport,Hill Center,857,21521,1,1,2000,2001,ationcallybarablebarought,4.42,72.5,7.29,91.35,0.0,0.0,able,65281
Lakeside,3rd Main,986,49532,Enterprise,View ,6,31757,1,1,2000,2001,ationcallybarablebarought,39.42,15.65,57.15,25.19,0.0,0.0,able,32812
Oak Hill,Laurel ,471,77838,Liberty,Sycamore ,435,73451,1,1,2000,2001,ationcallybarablebarought,46.89,35.72,67.52,44.29,0.0,0.0,anti,31904
Bridgeport,6th ,375,85817,White Oak,Pine ,996,96668,1,1,2000,2001,ationcallybarablebarought,40.48,5.83,71.24,10.37,0.0,0.0,eing,79231
Ashland,9th ,110,64244,Lakeview,Elm ,462,48579,1,1,2000,2001,ationcallybarablebarought,58.74,59.1,115.71,102.83,0.0,0.0,eing,73604
Florence,Sunset Ridge,994,73394,Belmont,Sycamore ,312,20191,1,1,2000,2001,ationcallybarablebarought,67.62,59.1,133.88,102.83,0.0,0.0,eing,73604
Springfield,4th ,546,19303,Bethel,Hillcrest ,824,35281,1,1,2000,2001,ationcallybarablebarought,21.93,62.96,39.47,67.36,0.0,0.0,ese,48721
Five Points,Fourth Jefferson,849,36098,Sulphur Springs,1st Park,262,38354,1,1,2000,2001,ationcallybarablebarought,30.35,62.96,49.47,67.36,0.0,0.0,ese,48721
Greenwood,Pine ,695,48828,Hillcrest,5th ,397,33003,1,1,2000,2001,ationcallybarablebarought,47.75,57.51,85.47,70.73,0.0,2811.06,ese,68721
Hillcrest,Park ,696,23003,Cedar Grove,Poplar ,727,40411,1,1,2000,2001,ationeingeseesen st,35.92,34.19,41.3,46.84,0.0,0.0,able,35281
Deerfield,14th ,601,59840,Hamilton,Church ,803,42808,1,1,2000,2001,ationeingeseesen st,46.74,62.73,63.09,86.56,0.0,0.0,anti,32812
Friendship,Sixth Third,726,74536,Greenwood,Main Hill,703,98828,1,1,2000,2001,ationeingeseesen st,58.86,59.45,93.58,98.68,0.0,0.0,bar,28048
Shiloh,Spring Main,757,69275,Lebanon,Pine Lakeview,508,42898,1,1,2000,2001,ationeingeseesen st,29.67,48.25,59.34,85.4,0.0,0.0,cally,76098
Arlington,Lakeview ,104,46557,Pleasant Hill,6th Main,477,23604,1,1,2000,2001,ationeingeseesen st,33.9,32.46,58.98,46.41,0.0,0.0,cally,38828
White Oak,3rd ,539,76668,Jamestown,View ,439,16867,1,1,2000,2001,ationeingeseesen st,10.52,76.72,11.04,93.59,0.0,0.0,ese,49843
Mount Vernon,East ,844,48482,Riverside,Sycamore ,,,1,1,2000,2001,ationeingeseesen st,19.08,44.76,19.46,89.52,0.0,0.0,n st,20059
Lenox,Miller ,891,31143,Friendship,12th ,570,74536,1,1,2000,2001,ationesepribarationought,34.7,50.22,45.45,61.77,0.0,0.0,bar,58828
Lenox,Miller ,891,31143,Friendship,12th ,570,74536,1,1,2000,2001,ationesepribarationought,34.7,56.9,45.45,104.69,0.0,0.0,bar,58828
Newtown,Walnut Sixth,37,71749,Oak Hill,Birch ,189,47838,1,1,2000,2001,ationesepribarationought,25.92,98.0,35.76,143.08,0.0,2458.95,eing,29231
Summit,Park Maple,425,50499,Bear Creek,Lakeview ,118,33075,1,1,2000,2001,ationesepribarationought,42.09,76.03,74.49,120.12,0.0,0.0,ese,33451
Ashland,College Seventh,834,74244,Bethel,Washington North,231,65281,1,1,2000,2001,ationesepribarationought,11.45,82.49,15.45,107.23,0.0,4394.41,pri,31933
