brand,brand_id,ext_price,t_hour,t_minute
amalgimporto #2,5002001,,19,49
corpmaxi #7,5002002,,17,57
importoscholar #2,5002002,,8,32
scholarnameless #2,5003001,,17,53
exportischolar #1,5003001,,19,30
exportischolar #1,5003001,,17,55
amalgexporti #2,5003001,,8,38
brandcorp #8,5003001,,19,2
exportischolar #2,5003002,,6,32
amalgedu pack #1,5003002,,18,40
amalgimporto #2,5004001,,17,3
exportischolar #2,5004001,,19,58
edu packamalg #2,5004001,,9,0
univnameless #9,5004001,,19,52
edu packamalg #2,5004001,,17,12
edu packamalg #2,5004001,,8,29
edu packnameless #3,5004002,,18,22
amalgamalgamalg #8,6001003,,17,41
amalgcorp #4,6001004,,17,55
amalgcorp #5,6001005,,9,23
amalgcorp #6,6001006,,18,37
edu packedu pack #1,6002001,,17,26
exportiamalg #1,6002003,,17,48
importocorp #5,6002005,,8,38
importounivamalg #7,6002006,,17,50
importocorp #8,6002008,,19,56
importocorp #8,6002008,,19,44
edu packcorp #2,6004002,,8,4
edu packcorp #4,6004004,,9,45
amalgimporto #1,6004006,,17,15
brandunivamalg #14,6004007,,8,34
edu packcorp #8,6004008,,17,12
edu packscholar #1,6005006,,19,58
scholarcorp #6,6005006,,17,22
exportiimporto #2,6005007,,18,10
exportiimporto #2,6005007,,17,23
amalgnameless #10,6006003,,17,11
amalgnameless #10,6006003,,18,26
amalgnameless #10,6006003,,9,48
amalgnameless #10,6006003,,18,21
edu packimporto #2,6006007,,17,7
corpcorp #8,6006008,,19,32
brandcorp #2,6007002,,8,49
brandcorp #2,6007002,,18,23
brandcorp #2,6007002,,8,33
brandcorp #2,6007002,,17,28
brandcorp #2,6007002,,18,49
brandcorp #2,6007002,,9,57
univbrand #7,6007006,,8,57
namelesscorp #7,6008007,,9,6
namelesscorp #8,6008008,,17,26
maxicorp #2,6009002,,19,13
maxicorp #4,6009004,,9,36
maxicorp #5,6009005,,17,6
exporticorp #6,6009005,,8,53
univbrand #3,6010003,,8,29
univbrand #5,6010005,,9,24
univnameless #5,6010008,,18,1
univbrand #8,6010008,,17,57
univbrand #8,6010008,,17,45
univnameless #5,6010008,,8,28
amalgbrand #4,6011004,,18,15
amalgbrand #4,6011004,,18,0
maxicorp #6,6011005,,17,2
exportibrand #2,6013002,,19,7
corpmaxi #7,6013002,,8,27
exportibrand #6,6013006,,19,3
exportibrand #6,6013006,,9,18
exportibrand #8,6013008,,8,50
edu packbrand #1,6014001,,18,14
edu packbrand #2,6014002,,19,22
importobrand #6,6014005,,18,8
edu packbrand #8,6014008,,9,19
scholarbrand #2,6015002,,19,43
amalgedu pack #2,6015003,,9,23
scholarbrand #3,6015003,,8,53
edu packscholar #1,6015003,,17,11
amalgcorp #4,6015003,,17,33
amalgcorp #4,6015003,,9,20
scholarbrand #5,6015005,,9,29
amalgamalg #1,6015005,,19,36
scholarbrand #8,6015008,,9,16
scholarbrand #8,6015008,,19,58
scholarbrand #8,6015008,,18,13
corpbrand #5,6016005,,8,27
corpbrand #5,6016005,,17,33
importobrand #9,6016006,,19,11
importobrand #9,6016006,,18,42
exportiunivamalg #8,6016007,,8,1
corpbrand #7,6016007,,17,48
exportinameless #5,6016008,,18,32
corpbrand #8,6016008,,18,18
amalgmaxi #1,7001004,,9,31
amalgmaxi #1,7001004,,9,38
amalgmaxi #1,7001004,,8,10
amalgbrand #6,7001006,,9,54
importomaxi #10,7002009,,19,38
importomaxi #10,7002009,,17,29
importobrand #10,7002010,,9,52
exportibrand #4,7003004,,9,35
exportibrand #6,7003006,,8,1
exportibrand #6,7003006,,17,49
exportibrand #8,7003008,,18,31
exportibrand #8,7003008,,17,35
exportibrand #9,7003009,,9,38
edu packbrand #6,7004006,,19,57
edu packbrand #8,7004008,,17,1
edu packbrand #8,7004008,,8,44
importoexporti #2,7005001,,17,54
edu packedu pack #1,7005006,,19,52
corpbrand #2,7006002,,18,16
importoamalg #1,7007002,,18,52
edu packamalgamalg #11,7007003,,17,11
corpnameless #6,7007005,,19,54
namelessbrand #4,7008004,,17,20
namelessbrand #5,7008005,,8,45
maxibrand #1,7009001,,9,13
maxibrand #2,7009002,,17,25
maxibrand #2,7009002,,9,34
maxibrand #2,7009002,,8,35
amalgmaxi #7,7009005,,19,17
maxibrand #8,7009008,,17,43
amalgexporti #2,7009009,,8,22
maxibrand #10,7009010,,9,0
maxibrand #10,7009010,,17,46
univnameless #6,7010006,,19,47
amalgnameless #1,7011001,,19,20
importonameless #8,7012008,,9,16
importonameless #8,7012008,,19,24
edu packamalgamalg #7,7013006,,9,19
edu packamalgamalg #7,7013006,,8,55
importobrand #4,7013007,,19,45
edu packexporti #2,7014005,,17,38
scholarnameless #3,7015003,,9,31
scholarnameless #6,7015006,,17,53
scholarnameless #8,7015008,,17,25
scholarnameless #8,7015008,,18,17
scholarnameless #8,7015008,,18,49
scholarnameless #10,7015010,,9,36
scholarnameless #10,7015010,,9,25
scholarnameless #10,7015010,,9,24
exportiamalg #2,7016001,,18,6
brandbrand #6,7016005,,19,11
corpnameless #6,7016006,,8,56
corpnameless #6,7016006,,19,54
amalgexporti #1,8001004,,19,48
amalgnameless #6,8001006,,19,42
amalgnameless #10,8001010,,17,38
amalgnameless #10,8001010,,18,57
importonameless #3,8002003,,19,17
amalgamalgamalg #11,8002003,,19,18
importonameless #3,8002003,,8,47
importonameless #3,8002003,,17,37
exportiamalgamalg #1,8002005,,19,39
exportiamalgamalg #1,8002005,,17,12
importonameless #9,8002009,,17,7
univbrand #5,8003002,,8,40
scholarmaxi #5,8003004,,19,19
scholarmaxi #5,8003004,,19,9
edu packexporti #1,8003004,,9,13
exportinameless #6,8003006,,9,43
maxibrand #8,8003007,,18,22
exportinameless #10,8003010,,17,35
edu packnameless #4,8004004,,19,18
amalgmaxi #7,8004005,,19,55
edu packnameless #6,8004006,,18,13
edu packnameless #6,8004006,,8,17
corpbrand #9,8004008,,19,7
corpbrand #9,8004008,,17,32
scholaramalgamalg #2,8005007,,17,43
corpnameless #2,8006002,,17,19
corpnameless #2,8006002,,7,10
amalgimporto #1,8006003,,17,57
corpnameless #4,8006004,,9,9
corpnameless #4,8006004,,18,4
corpnameless #4,8006004,,17,24
corpnameless #4,8006004,,17,6
corpnameless #8,8006008,,8,24
brandnameless #2,8007002,,9,13
brandnameless #2,8007002,,17,43
namelessnameless #1,8008001,,9,18
namelessnameless #3,8008003,,17,30
edu packnameless #6,8008005,,9,5
edu packbrand #3,8008006,,9,4
edu packbrand #3,8008006,,17,3
namelessnameless #8,8008008,,17,16
namelessnameless #8,8008008,,18,8
exportiamalgamalg #3,8009005,,17,27
exporticorp #6,8009007,,19,13
exporticorp #6,8009007,,9,1
amalgimporto #1,8010001,,9,17
namelessnameless #2,8010001,,18,24
edu packamalg #1,8010001,,18,4
amalgunivamalg #3,8010004,,19,46
amalgunivamalg #3,8010004,,18,24
importounivamalg #1,8010007,,17,23
exportiamalg #2,8010009,,19,53
univmaxi #9,8010009,,17,20
amalgmaxi #2,8011002,,17,45
amalgmaxi #2,8011002,,18,48
exportiamalgamalg #17,8011003,,18,49
amalgmaxi #4,8011004,,17,31
amalgmaxi #6,8011006,,17,23
importocorp #2,8011009,,17,33
edu packexporti #1,8011010,,19,40
amalgmaxi #10,8011010,,17,27
importomaxi #3,8012003,,8,17
importomaxi #3,8012003,,17,9
importomaxi #10,8012010,,9,29
importomaxi #10,8012010,,17,36
exportimaxi #2,8013002,,19,34
corpunivamalg #10,8013005,,17,14
importoamalg #2,8013007,,18,8
importoamalg #2,8013007,,17,11
exportimaxi #10,8013010,,8,7
edu packmaxi #2,8014002,,19,33
amalgunivamalg #7,8014009,,9,55
edu packmaxi #10,8014010,,19,2
scholarnameless #7,8015005,,19,2
scholarmaxi #10,8015010,,17,33
corpmaxi #1,8016001,,17,38
corpmaxi #3,8016003,,8,9
corpmaxi #6,8016006,,8,35
corpmaxi #6,8016006,,19,46
importoimporto #1,9001011,,18,51
importomaxi #2,9002002,,19,54
importomaxi #4,9002004,,9,37
importoedu pack #1,9002005,,18,4
exportimaxi #2,9003002,,17,5
exportimaxi #2,9003002,,8,39
maximaxi #4,9003003,,17,52
maximaxi #4,9003003,,19,6
exportimaxi #4,9003004,,7,55
edu packmaxi #7,9003006,,18,40
edu packamalg #1,9003012,,18,21
edu packmaxi #2,9004002,,8,26
edu packmaxi #10,9004010,,17,51
scholarmaxi #7,9005007,,18,47
scholarmaxi #10,9005010,,17,40
scholarmaxi #10,9005010,,17,0
corpmaxi #1,9006001,,18,32
corpmaxi #2,9006002,,17,23
corpmaxi #2,9006002,,18,21
exportischolar #2,9006003,,7,21
amalgexporti #2,9006003,,9,36
amalgexporti #2,9006003,,9,23
exportiedu pack #2,9006003,,18,24
edu packamalgamalg #14,9006006,,17,0
brandmaxi #2,9007002,,8,2
brandmaxi #8,9007008,,18,36
brandmaxi #8,9007008,,9,42
corpcorp #4,9008003,,19,1
importoscholar #2,9008003,,17,9
corpcorp #4,9008003,,19,11
namelessmaxi #4,9008004,,8,28
namelessmaxi #4,9008004,,17,30
maximaxi #2,9009002,,17,26
maximaxi #4,9009004,,8,47
maximaxi #4,9009004,,17,4
maximaxi #8,9009008,,17,14
importoimporto #2,9009009,,18,51
univunivamalg #4,9010004,,19,42
univunivamalg #10,9010010,,17,20
univunivamalg #10,9010010,,8,37
amalgunivamalg #2,9011002,,8,54
amalgunivamalg #8,9011008,,19,43
amalgexporti #1,9011012,,8,57
importounivamalg #2,9012002,,9,9
importounivamalg #4,9012004,,17,52
importounivamalg #7,9012007,,17,17
exportiedu pack #2,9012009,,17,49
exportiedu pack #2,9012009,,18,36
exportiunivamalg #8,9013008,,18,35
exportiunivamalg #8,9013008,,9,49
exportiunivamalg #10,9013010,,7,1
importoscholar #2,9014003,,17,9
edu packexporti #1,9014005,,9,56
edu packunivamalg #8,9014008,,9,11
scholarmaxi #10,9014009,,18,17
scholarunivamalg #2,9015002,,8,20
importonameless #5,9015005,,9,45
importonameless #5,9015005,,18,46
importonameless #5,9015005,,18,42
scholarunivamalg #8,9015008,,18,18
exportimaxi #1,9015012,,17,49
corpunivamalg #2,9016002,,17,25
amalgexporti #2,9016003,,18,19
amalgexporti #2,9016003,,9,47
corpunivamalg #7,9016007,,8,38
importoimporto #1,9016011,,9,3
importoimporto #1,9016011,,8,25
amalgunivamalg #2,10001002,,9,32
amalgnameless #7,10001004,,17,54
amalgunivamalg #10,10001010,,9,5
edu packamalg #2,10001014,,9,52
importounivamalg #2,10002002,,8,18
importounivamalg #5,10002005,,17,5
importounivamalg #11,10002011,,18,48
scholarnameless #2,10002014,,18,18
amalgscholar #1,10003005,,18,49
amalgscholar #1,10003005,,19,15
exportiunivamalg #17,10003017,,7,25
amalgmaxi #7,10004017,,18,38
amalgmaxi #7,10004017,,9,32
scholarunivamalg #8,10005008,,18,11
univunivamalg #10,10005009,,17,57
scholarunivamalg #11,10005011,,17,59
scholarunivamalg #11,10005011,,19,59
corpcorp #2,10005012,,9,9
scholarunivamalg #15,10005015,,17,34
corpunivamalg #8,10006008,,17,30
brandunivamalg #8,10007008,,18,4
exportiamalg #2,10007011,,17,24
univunivamalg #4,10007013,,17,47
brandunivamalg #14,10007014,,18,24
namelessunivamalg #11,10008011,,19,35
importoamalg #2,10009001,,9,5
maxiunivamalg #9,10009009,,9,6
maxiunivamalg #17,10009017,,18,39
importoscholar #1,10010003,,18,26
importoscholar #1,10010003,,18,29
univamalgamalg #6,10010006,,19,7
univamalgamalg #6,10010006,,17,36
amalgmaxi #7,10010010,,18,55
importobrand #1,10010010,,9,58
univamalgamalg #11,10010011,,19,58
amalgamalgamalg #2,10011002,,9,51
amalgamalgamalg #5,10011005,,19,2
edu packbrand #6,10011006,,9,47
amalgamalgamalg #15,10011015,,8,35
importoamalgamalg #1,10012001,,9,4
importoamalgamalg #6,10012006,,17,36
importoamalgamalg #7,10012007,,8,10
importoamalg #2,10012009,,19,39
importoamalgamalg #16,10012016,,8,20
exportiamalgamalg #1,10013001,,17,57
scholarnameless #8,10013001,,19,0
scholarnameless #8,10013001,,18,45
importoscholar #2,10013007,,19,50
importoscholar #2,10013007,,9,50
exportiamalgamalg #9,10013009,,17,1
importoexporti #2,10013012,,17,48
importounivamalg #1,10014003,,18,31
edu packamalgamalg #5,10014005,,9,32
edu packamalgamalg #5,10014005,,17,37
edu packamalgamalg #11,10014011,,8,58
edu packamalgamalg #13,10014013,,9,33
edu packamalgamalg #13,10014013,,19,58
amalgbrand #2,10015001,,17,43
amalgbrand #2,10015001,,9,44
scholaramalgamalg #12,10015012,,18,39
corpamalgamalg #4,10016004,,17,52
importonameless #5,10016011,,17,23
corpamalgamalg #12,10016012,,8,54
corpamalgamalg #16,10016016,,18,24
amalgamalg #2,1001002,54433.94,18,32
importoexporti #2,3002002,50489.64,17,47
edu packscholar #2,5004002,50351.82,17,38
edu packamalg #2,1004002,49381.16,17,16
edu packamalg #2,1004002,47426.57,8,36
exportiedu pack #2,4003002,47136.8,18,19
importoscholar #2,5002002,46774.19,9,26
exportiexporti #2,3003002,46692.87,18,40
importoedu pack #2,4002002,46353.38,17,10
importoedu pack #2,4002002,45381.74,17,28
edu packamalg #2,1004002,45369.36,19,59
exportiedu pack #2,4003002,45212.9,19,53
importoscholar #2,5002002,45144.33,19,8
importoscholar #2,5002002,44705.34,18,38
exportiedu pack #2,4003002,42860.23,19,37
exportiedu pack #2,4003002,42848.25,18,0
exportiexporti #2,3003002,42663.02,17,7
exportischolar #2,5003002,42587.89,19,17
edu packimporto #2,2004002,42308.43,17,12
importoimporto #2,2002002,42301.84,19,21
importoedu pack #2,4002002,41373.19,9,6
exportiexporti #2,3003002,38702.85,17,25
exportiedu pack #2,4003002,38642.52,19,5
importoimporto #2,2002002,38540.8,17,11
importoscholar #2,5002002,38439.56,18,31
importoedu pack #2,4002002,38298.34,19,46
amalgamalg #2,1001002,38211.82,9,28
exportischolar #2,5003002,38142.8,19,13
exportiexporti #2,3003002,37858.7,18,23
exportiimporto #2,2003002,37813.29,9,23
importoedu pack #2,4002002,37586.51,17,39
importoscholar #2,5002002,37545.29,17,56
importoedu pack #2,4002002,37432.22,17,46
amalgscholar #2,5001002,36912.53,18,11
exportiexporti #2,3003002,36884.96,18,48
importoexporti #2,3002002,36864.26,17,48
importoexporti #2,3002002,36793.65,17,25
exportiedu pack #2,4003002,36730.3,19,33
scholarunivamalg #8,9015008,36428.3,18,54
edu packamalg #2,1004002,36422.36,17,25
amalgscholar #2,5001002,36215.83,17,53
importoamalg #2,1002002,36187.58,18,32
edu packamalg #2,1004002,36017.42,8,18
importoexporti #2,3002002,35654.91,9,13
edu packedu pack #2,4004002,35482.43,17,34
edu packexporti #2,3004002,35333.64,19,17
importoedu pack #2,4002002,35281.54,19,19
edu packscholar #2,5004002,35212.05,9,13
importoedu pack #2,4002002,35164.5,18,49
edu packimporto #2,2004002,34914.6,18,21
exportiedu pack #2,4003002,34894.9,17,20
importoexporti #2,3002002,34747.95,17,26
amalgamalg #2,1001002,34740.56,19,51
importoimporto #1,5004001,34603.8,9,14
edu packamalg #2,1004002,34586.07,19,20
exportiexporti #2,3003002,34535.46,18,10
amalgedu pack #2,4001002,34468.81,9,45
amalgimporto #2,2001002,34457.51,9,16
importoscholar #2,5002002,34255.55,17,54
exportischolar #2,5003002,34212.15,18,55
exportiimporto #2,2003002,34116.16,19,32
importoscholar #2,5002002,34087.53,17,44
exportiimporto #2,2003002,33959.8,17,58
amalgamalg #2,1001002,33913.72,17,46
importoedu pack #2,4002002,33803.62,18,34
importoscholar #2,5002002,33756.42,8,40
importoexporti #2,3002002,33495.26,9,57
amalgamalg #2,1001002,33491.92,17,4
exportischolar #2,5003002,33358.53,18,15
importoscholar #2,5002002,33175.09,19,16
importoexporti #2,3002002,33158.37,9,12
exportiimporto #2,2003002,33065.67,19,27
edu packamalg #2,1004002,32943.98,8,51
edu packimporto #2,2004002,32572.37,17,15
importoedu pack #2,4002002,32464.32,17,18
importoexporti #2,3002002,32356.44,18,17
exportiexporti #2,3003002,32279.69,9,48
edu packamalg #2,1004002,32198.24,18,46
importoexporti #2,3002002,32187.07,18,11
exportiedu pack #2,4003002,32137.16,18,16
importoedu pack #2,4002002,32131.26,17,58
exportiamalg #2,1003002,31950.12,18,49
edu packamalg #2,1004002,31945.97,19,46
importoimporto #2,2002002,31845.38,17,5
importoexporti #2,3002002,31803.92,19,52
edu packedu pack #2,4004002,31750.92,9,27
importoscholar #2,5002002,31653.01,17,25
exportiexporti #2,3003002,31604.76,18,41
amalgexporti #2,3001002,31582.09,17,16
exportischolar #2,5003002,31513.1,17,25
exportiimporto #2,2003002,31470.0,19,10
exportiexporti #2,3003002,31375.1,18,18
amalgamalg #2,1001002,31363.63,17,2
exportiimporto #2,2003002,31214.53,18,8
importoedu pack #2,4002002,31145.25,9,47
edu packscholar #1,5004001,31110.6,17,48
exportiexporti #2,3003002,31038.24,9,18
edu packamalg #2,1004002,30975.22,17,20
edu packamalg #2,1004002,30957.68,17,19
exportiedu pack #2,4003002,30938.9,19,20
importoexporti #2,3002002,30890.15,17,40
amalgamalg #2,1001002,30816.43,17,42
importoimporto #2,2002002,30688.97,17,31
importoimporto #2,2002002,30638.7,17,0
edu packscholar #2,5004002,30604.82,19,39
amalgexporti #2,3001002,30562.95,19,50
edu packamalg #2,1004002,30535.51,17,27
edu packamalg #2,1004002,30463.94,19,39
amalgscholar #2,5001002,30437.91,18,29
amalgexporti #2,3001002,30437.37,9,23
edu packamalg #2,1004002,30323.27,18,53
exportiedu pack #2,4003002,30268.77,9,11
exportiexporti #2,3003002,30224.54,19,58
exportiamalg #2,1003002,30184.33,19,59
exportiimporto #2,2003002,30097.29,9,21
exportischolar #2,5003002,30032.88,17,49
importoedu pack #2,4002002,29980.87,17,37
edu packscholar #2,5004002,29962.52,9,34
importoscholar #2,5002002,29942.34,18,11
importoedu pack #2,4002002,29931.71,17,13
amalgamalg #2,1001002,29884.1,9,48
edu packamalg #2,1004002,29795.02,18,4
importoexporti #2,3002002,29787.86,17,55
amalgamalg #2,1001002,29705.68,18,31
importoscholar #2,5002002,29689.25,8,12
edu packscholar #2,5004002,29665.98,18,5
edu packscholar #2,5004002,29622.0,18,16
exportischolar #2,5003002,29613.04,17,16
exportiexporti #2,3003002,29585.71,17,48
edu packexporti #2,3004002,29513.28,17,37
edu packimporto #2,2004002,29419.59,17,8
exportiamalg #2,1003002,29340.63,17,56
edu packamalg #2,1004002,29281.02,17,32
exportiedu pack #2,4003002,29271.03,9,34
exportischolar #2,5003002,29219.43,19,35
edu packedu pack #1,4004001,29201.83,18,57
importoexporti #2,3002002,29019.55,17,0
exportiimporto #2,2003002,28995.54,18,42
exportischolar #2,5003002,28949.81,19,34
edu packexporti #2,3004002,28898.0,17,3
importoedu pack #2,4002002,28803.26,17,49
exportiexporti #2,3003002,28793.28,17,33
importoexporti #2,3002002,28793.08,18,52
amalgexporti #2,3001002,28792.26,19,48
amalgscholar #2,5001002,28790.13,19,44
exportiimporto #2,2003002,28774.74,19,49
amalgamalg #2,1001002,28736.06,19,24
amalgexporti #2,3001002,28663.2,19,33
amalgimporto #2,2001002,28648.95,17,22
amalgimporto #2,2001002,28572.61,17,36
exportiedu pack #2,4003002,28555.33,9,2
amalgimporto #2,2001002,28452.84,17,5
edu packedu pack #1,4004001,28414.05,8,49
edu packedu pack #2,4004002,28390.1,17,17
edu packamalg #2,1004002,28354.77,9,11
exportiedu pack #2,4003002,28303.77,19,10
importoscholar #2,5002002,28295.92,9,18
exportiedu pack #2,4003002,28276.76,18,35
edu packbrand #6,1002001,28227.18,8,44
edu packamalg #2,1004002,28148.0,9,48
edu packamalg #1,8005002,28144.86,19,10
edu packimporto #2,2004002,28136.68,19,37
exportiexporti #2,3003002,28081.81,9,5
amalgimporto #2,2001002,27970.08,9,28
amalgedu pack #2,4001002,27961.56,19,1
edu packedu pack #2,4004002,27938.93,17,19
importoexporti #2,3002002,27913.67,8,55
exportiedu pack #2,4003002,27882.73,17,45
importoscholar #2,5002002,27864.54,17,38
amalgamalg #2,1001002,27854.14,18,54
importoexporti #2,3002002,27853.3,17,3
edu packamalg #2,1004002,27846.27,19,23
edu packimporto #2,2004002,27829.98,18,28
edu packexporti #2,3004002,27822.37,9,39
exportiedu pack #2,4003002,27816.12,19,6
exportiamalg #2,1003002,27765.99,18,19
importoedu pack #2,4002002,27754.59,18,54
amalgexporti #2,3001002,27743.05,17,46
importoexporti #2,3002002,27741.17,9,58
edu packscholar #2,5004002,27695.18,17,17
exportiimporto #2,2003002,27686.88,19,57
exportiedu pack #2,4003002,27635.69,18,30
amalgexporti #2,3001002,27586.02,18,0
importoamalg #2,1002002,27572.13,17,16
importoamalg #2,1002002,27565.22,9,36
exportiexporti #2,3003002,27563.42,19,31
importoedu pack #2,4002002,27535.91,17,33
exportiedu pack #2,4003002,27532.58,17,13
edu packamalg #2,1004002,27510.44,18,41
edu packexporti #2,3004002,27472.96,19,48
edu packimporto #2,2004002,27447.61,17,34
exportiexporti #2,3003002,27415.19,9,9
amalgimporto #2,2001002,27288.5,19,22
edu packexporti #2,3004002,27270.74,19,2
edu packedu pack #2,4004002,27263.89,17,41
amalgedu pack #2,4001002,27250.23,18,57
importoexporti #2,3002002,27204.55,17,45
amalgexporti #2,3001002,27183.11,18,5
amalgedu pack #2,4001002,27169.7,17,11
importoamalgamalg #7,10012007,27150.36,19,43
importoedu pack #2,4002002,27135.66,19,48
exportiexporti #2,3003002,27131.44,18,0
exportiedu pack #2,4003002,27099.43,17,26
exportiedu pack #2,4003002,27081.71,17,16
amalgimporto #2,2001002,27078.25,19,27
brandcorp #2,6007002,27065.01,17,54
exportischolar #2,5003002,27064.68,19,36
amalgedu pack #2,4001002,27014.87,17,43
amalgexporti #2,3001002,26999.49,19,16
exportiexporti #2,3003002,26967.15,18,37
amalgscholar #2,5001002,26907.02,17,30
exportischolar #2,5003002,26887.73,9,50
importoimporto #2,2002002,26884.72,18,44
edu packexporti #1,3004001,26844.21,9,15
importoscholar #2,5002002,26828.12,17,9
exportiexporti #2,3003002,26823.32,19,51
importoscholar #2,5002002,26738.47,19,36
importoamalg #2,1002002,26708.29,17,22
edu packscholar #2,5004002,26683.85,8,5
exportiexporti #2,3003002,26661.96,17,13
importoscholar #2,5002002,26636.87,8,10
edu packamalg #2,1004002,26616.54,18,12
edu packamalg #2,1004002,26585.21,9,50
importoedu pack #2,4002002,26570.8,9,18
exportiexporti #2,3003002,26564.77,8,3
exportiimporto #2,2003002,26546.53,17,45
importoexporti #2,3002002,26538.89,18,22
importoamalg #2,1002002,26515.6,18,54
amalgamalg #2,1001002,26490.47,19,54
amalgexporti #2,3001002,26464.91,8,53
exportiimporto #2,2003002,26400.32,19,2
exportiexporti #2,3003002,26399.74,17,38
importoscholar #2,5002002,26359.62,9,0
amalgscholar #2,5001002,26347.04,17,32
exportiedu pack #2,4003002,26337.1,17,34
exportiamalg #1,1003001,26331.58,19,11
importoedu pack #2,4002002,26326.2,17,41
exportiedu pack #2,4003002,26314.55,9,56
amalgexporti #2,3001002,26261.02,17,42
edu packedu pack #2,4004002,26245.79,19,26
importoexporti #2,3002002,26231.8,17,14
importoamalg #2,1002002,26224.27,17,39
amalgscholar #2,5001002,26202.15,18,14
exportiexporti #2,3003002,26195.07,18,47
namelessnameless #8,8008008,26170.38,18,0
edu packedu pack #2,4004002,26097.52,19,8
exportiedu pack #2,4003002,26053.97,9,19
importoscholar #2,5002002,26044.84,17,48
