30 days,31-60,61-90,91-120,>120 days,sm_type,substr,web_name
10819,8723,7411,6062,0,NEXT DAY,Famous skills enact.,site_0
10896,8892,7333,5980,0,NEXT DAY,Famous skills enact.,site_1
10731,8907,7320,6008,0,NEXT DAY,Famous skills enact.,site_2
10911,8670,7299,6020,0,NEXT DAY,Famous skills enact.,site_3
8032,6556,5504,4551,0,OVERNIGHT,Famous skills enact.,site_0
8207,6560,5541,4511,0,OVERNIGHT,Famous skills enact.,site_1
8183,6672,5452,4453,0,OVERNIGHT,Famous skills enact.,site_2
8226,6609,5520,4376,0,OVERNIGHT,Famous skills enact.,site_3
8143,6708,5563,4503,0,REGULAR,Famous skills enact.,site_0
8064,6667,5567,4655,0,REGULAR,Famous skills enact.,site_1
8150,6694,5442,4405,0,REGULAR,Famous skills enact.,site_2
8205,6592,5479,4521,0,REGULAR,Famous skills enact.,site_3
8200,6815,5475,4601,0,TWO DAY,Famous skills enact.,site_0
8189,6632,5590,4533,0,TWO DAY,Famous skills enact.,site_1
8233,6739,5535,4553,0,TWO DAY,Famous skills enact.,site_2
8153,6715,5343,4434,0,TWO DAY,Famous skills enact.,site_3
11059,8634,7379,5960,0,EXPRESS,Full cards mi,site_0
11114,8794,7395,5906,0,EXPRESS,Full cards mi,site_1
11030,8803,7216,5916,0,EXPRESS,Full cards mi,site_2
11000,8895,7237,5937,0,EXPRESS,Full cards mi,site_3
