30 days,31-60,61-90,91-120,>120 days,cc_name,sm_type,substr
5732,4865,4014,0,0,Pacific Northwest,TWO DAY,About slight way
5637,4687,3920,0,0,Pacific Northwest_1,TWO DAY,About slight way
7532,6266,5154,0,0,California,EXPRESS,Both obvious tic
7468,6477,5230,0,0,California_1,EXPRESS,Both obvious tic
7457,6399,5238,0,0,Hawaii/Alaska,EXPRESS,Both obvious tic
7389,6400,5246,0,0,Hawaii/Alaska_1,EXPRESS,Both obvious tic
7529,6288,5217,0,0,Mid Atlantic,EXPRESS,Both obvious tic
7447,6438,5191,0,0,Mid Atlantic_1,EXPRESS,Both obvious tic
7575,6372,5309,0,0,Mid Atlantic_2,EXPRESS,Both obvious tic
7399,6451,5142,0,0,North Midwest,EXPRESS,Both obvious tic
7591,6347,5233,0,0,North Midwest_1,EXPRESS,Both obvious tic
7504,6417,5299,0,0,North Midwest_2,EXPRESS,Both obvious tic
