curr_yr_cnt,i_brand_id,i_category_id,i_class_id,i_manufact_id,prev_year,prev_yr_cnt,sales_amt_diff,sales_cnt_diff,year
39855.0,10013002,10,13,156,2001,46075.0,-292255.8,-6220.0,2002
41155.0,10005015,10,5,218,2001,47334.0,-282182.58,-6179.0,2002
40984.0,10011007,10,11,154,2001,47159.0,-307126.66,-6175.0,2002
42339.0,10001007,10,1,171,2001,48506.0,-406456.21,-6167.0,2002
40379.0,10012014,10,16,108,2001,46522.0,-358811.44,-6143.0,2002
42152.0,10008017,10,8,57,2001,48284.0,-337728.29,-6132.0,2002
41474.0,10016011,10,16,226,2001,47577.0,-236812.97,-6103.0,2002
40891.0,10006005,10,4,80,2001,46984.0,-332550.46,-6093.0,2002
42175.0,1003001,10,3,592,2001,48133.0,-290583.63,-5958.0,2002
41843.0,8006001,10,8,67,2001,47801.0,-203022.17,-5958.0,2002
43157.0,6014007,10,11,949,2001,49078.0,-260828.58,-5921.0,2002
43097.0,10011008,10,11,121,2001,48976.0,-142311.24,-5879.0,2002
41519.0,10015001,10,15,36,2001,47396.0,-198224.23,-5877.0,2002
41259.0,2001001,10,1,309,2001,47121.0,-158973.79,-5862.0,2002
42613.0,10010009,10,10,150,2001,48408.0,-347497.58,-5795.0,2002
43526.0,3004001,10,6,48,2001,49283.0,-280059.99,-5757.0,2002
44137.0,1001001,10,8,389,2001,49894.0,-120473.06,-5757.0,2002
41751.0,10009014,10,9,271,2001,47502.0,-225750.27,-5751.0,2002
43887.0,2001001,10,12,23,2001,49630.0,-439311.49,-5743.0,2002
41734.0,10009011,10,9,105,2001,47472.0,-248190.09,-5738.0,2002
43566.0,10006010,10,6,761,2001,49298.0,-212893.73,-5732.0,2002
43386.0,10012012,10,12,205,2001,49112.0,-79984.9,-5726.0,2002
43721.0,10004017,10,4,326,2001,49438.0,-193581.13,-5717.0,2002
40262.0,10010003,10,10,26,2001,45958.0,-298340.4,-5696.0,2002
43232.0,10016005,10,16,281,2001,48927.0,-138302.34,-5695.0,2002
42651.0,10008014,10,8,33,2001,48330.0,-128068.61,-5679.0,2002
42974.0,8003005,10,3,79,2001,48634.0,335.48,-5660.0,2002
42524.0,10001007,10,1,500,2001,48158.0,-384221.77,-5634.0,2002
43883.0,10009003,10,9,664,2001,49510.0,-199104.73,-5627.0,2002
42497.0,10010010,10,10,220,2001,48117.0,-251939.44,-5620.0,2002
42313.0,10011003,10,11,158,2001,47891.0,-492677.69,-5578.0,2002
42825.0,10004007,10,4,41,2001,48383.0,-478168.02,-5558.0,2002
42348.0,10003002,10,3,68,2001,47895.0,-258586.97,-5547.0,2002
