30 days,31-60,61-90,91-120,>120 days,s_city,s_company_id,s_county,s_state,s_store_name,s_street_name,s_street_number,s_street_type,s_suite_number,s_zip
339,252,154,159,357,Oakland,1,Williamson County,TN,ation,View Miller,431,Ave,Suite Y,39843
332,269,155,146,312,Salem,1,Barrow County,GA,ation,10th ,434,Parkway,Suite W,38048
302,301,162,147,284,Pleasant Valley,1,Luce County,MI,ation,Third ,435,Drive,Suite R,42477
295,260,138,163,340,New Hope,1,Barrow County,GA,ation,13th Railroad,510,Ave,Suite K,39431
297,238,173,146,308,Pleasant Grove,1,Fairfield County,SC,ation,2nd ,52,Road,Suite K,24136
334,256,172,165,297,Fairview,1,Walker County,AL,ation,4th 14th,87,Way,Suite P,35709
348,246,165,154,311,Shady Grove,1,Luce County,MI,ation,Main East,888,RD,Suite 100,42812
339,269,180,137,297,Bethel,1,Barrow County,GA,ation,Davis First,927,Way,Suite 220,35281
347,273,175,185,330,Oakland,1,Walker County,AL,ation,Miller 1st,958,Blvd,Suite 360,39843
329,261,156,168,294,Centerville,1,Luce County,MI,bar,13th Jackson,231,RD,Suite M,40059
352,246,149,163,346,Greenwood,1,Williamson County,TN,bar,Franklin 2nd,307,Dr.,Suite 270,38828
317,241,153,152,304,New Hope,1,Richland County,OH,bar,Lake ,349,Court,Suite U,49431
373,231,146,147,310,Liberty,1,Richland County,OH,bar,Main ,38,Avenue,Suite 240,43451
333,248,178,156,289,Pleasant Hill,1,Franklin Parish,LA,bar,Valley ,383,Court,Suite G,73604
319,262,169,157,298,Salem,1,Franklin Parish,LA,bar,Walnut Jackson,43,Wy,Suite B,78048
321,224,148,162,298,Greenwood,1,Ziebach County,SD,bar,Church Central,463,Wy,Suite B,58828
299,257,183,152,283,Pleasant Valley,1,Barrow County,GA,bar,Railroad Oak,488,ST,Suite 280,32477
331,256,168,152,336,Liberty,1,Richland County,OH,bar,Ash Fourth,507,Blvd,Suite I,43451
316,251,154,187,297,Riverside,1,Richland County,OH,bar,View ,594,Ave,Suite 120,49231
344,277,149,171,313,Union,1,Franklin Parish,LA,bar,Park ,608,Blvd,Suite S,78721
333,292,136,159,328,Pleasant Hill,1,Williamson County,TN,bar,Smith Walnut,624,Street,Suite 250,33604
339,237,177,156,358,Shady Grove,1,Luce County,MI,bar,Valley Johnson,631,Ct.,Suite D,42812
369,303,128,182,313,Riverside,1,Ziebach County,SD,bar,4th Smith,709,RD,Suite 410,59231
296,218,161,155,312,Riverside,1,Franklin Parish,LA,bar,Pine ,71,Road,Suite 210,79231
331,260,150,155,301,New Hope,1,Franklin Parish,LA,bar,Birch ,743,Avenue,Suite 330,79431
305,236,131,158,347,Pleasant Hill,1,Luce County,MI,bar,View ,752,Wy,Suite 160,43604
327,230,192,158,300,Five Points,1,Williamson County,TN,bar,Sunset ,764,Ave,Suite 410,36098
322,271,180,155,324,Mount Pleasant,1,Walker County,AL,bar,Second Main,766,Court,Suite 140,31933
342,263,144,161,310,Greenwood,1,Luce County,MI,bar,3rd Valley,825,Boulevard,Suite 340,48828
356,259,157,169,361,Mount Pleasant,1,Daviess County,MO,bar,14th Pine,872,Street,Suite 340,61933
357,227,159,160,329,Mount Pleasant,1,Luce County,MI,bar,1st Meadow,899,Ct.,Suite 290,41933
338,244,148,151,333,New Hope,1,Williamson County,TN,bar,6th ,904,ST,Suite W,39431
317,256,140,175,333,Pleasant Grove,1,Williamson County,TN,bar,1st ,92,Cir.,Suite X,34136
336,261,171,142,300,Centerville,1,Franklin Parish,LA,bar,View Valley,943,Pkwy,Suite 270,70059
347,284,140,145,334,Salem,1,Fairfield County,SC,bar,Lake ,952,Boulevard,Suite F,28048
345,241,179,183,321,Greenwood,1,Ziebach County,SD,bar,Valley Ridge,982,ST,Suite 380,58828
326,245,142,177,328,Centerville,1,Richland County,OH,cally,Highland Ridge,113,Street,Suite K,40059
345,238,184,161,314,Greenwood,1,Williamson County,TN,cally,Ninth ,116,Street,Suite 480,38828
301,243,193,150,319,Midway,1,Fairfield County,SC,cally,Willow ,121,Ave,Suite 250,21904
290,251,150,146,355,Greenwood,1,Ziebach County,SD,cally,Sixth ,126,Street,Suite H,58828
284,276,168,143,328,Salem,1,Daviess County,MO,cally,Fourth Fifth,140,Court,Suite 180,68048
330,229,167,145,329,Pleasant Grove,1,Ziebach County,SD,cally,Wilson North,18,Pkwy,Suite K,54136
327,255,149,158,350,Pleasant Valley,1,Ziebach County,SD,cally,Ash Laurel,19,Ct.,Suite I,52477
320,255,172,142,305,Oak Grove,1,Franklin Parish,LA,cally,Hillcrest Adams,253,Avenue,Suite 410,78370
334,261,160,149,294,Five Points,1,Williamson County,TN,cally,Poplar ,260,Ave,Suite Y,36098
311,238,156,148,348,Fairview,1,Fairfield County,SC,cally,Elevnth 10th,344,Court,Suite 440,25709
362,253,145,146,311,Union,1,Daviess County,MO,cally,Main ,355,ST,Suite 240,68721
333,251,159,148,347,Salem,1,Ziebach County,SD,cally,Green Poplar,387,Drive,Suite 180,58048
336,252,151,173,332,Liberty,1,Luce County,MI,cally,13th ,426,Wy,Suite V,43451
332,293,161,149,328,Five Points,1,Franklin Parish,LA,cally,Elevnth Seventh,468,Parkway,Suite O,76098
310,209,170,155,313,Greenwood,1,Luce County,MI,cally,Main ,502,Boulevard,Suite I,48828
303,260,128,135,322,Union,1,Walker County,AL,cally,Center Spruce,617,Drive,Suite I,38721
326,256,164,150,306,Oakland,1,Fairfield County,SC,cally,9th ,620,Pkwy,Suite 10,29843
285,241,150,164,292,Liberty,1,Fairfield County,SC,cally,Mill Forest,640,Way,Suite 470,23451
345,246,165,147,321,Riverside,1,Daviess County,MO,cally,Third Ash,706,Pkwy,Suite 170,69231
