n_name,p_mfgr,p_partkey,s_acctbal,s_address,s_comment,s_name,s_phone
PERU,Manufacturer#5,489646,9849.65,X BxyO8GpBhhgfwV2zU5Ricybi,ss packages cajole across the pinto beans. final packages above the slyly bol,Supplier#000064659,27-328-157-8473
PERU,Manufacturer#4,1914620,9849.65,X BxyO8GpBhhgfwV2zU5Ricybi,ss packages cajole across the pinto beans. final packages above the slyly bol,Supplier#000064659,27-328-157-8473
ARGENTINA,Manufacturer#2,462504,9849.41,"U6WAmOdd51H7uhZiLPXtPYK1gh0grW,",iments sleep about the ironic asymptotes. unusual accounts wake quickly accor,Supplier#000037517,11-810-498-5884
ARGENTINA,Manufacturer#3,321562,9848.06,Nb6EuKKXmVMgpFwAO0gtY, instructions wake theodol,Supplier#000021563,11-226-863-8782
PERU,Manufacturer#4,41003,9845.83,zoewWP2exbJ,"regular, regular theodolites nod according to the caref",Supplier#000091004,27-142-136-9166
PERU,Manufacturer#3,1600192,9841.69,6OMHFFYt9lH8ErEeEAfqMaDBOsL,regular packages sublate blithely across the fluffily express esc,Supplier#000025209,27-762-190-2899
PERU,Manufacturer#1,1961849,9841.07,tLHR1Tc z38aKSLyo91YC297TiX,efully even packages. quickly regu,Supplier#000036907,27-879-189-8023
CANADA,Manufacturer#5,764868,9838.81,"f0o1,9xA62w3wBfeAQG7I8Y39qIPGIix,uf",lets boost about the requests. bold requests sleep fluffily alongsid,Supplier#000089876,13-579-960-6948
PERU,Manufacturer#4,603667,9826.53,U7HrMSGbwuwLC,". regular, regular warhorses wake carefully silent accounts. slyly unusual",Supplier#000003668,27-539-572-9175
PERU,Manufacturer#4,1278655,9826.53,U7HrMSGbwuwLC,". regular, regular warhorses wake carefully silent accounts. slyly unusual",Supplier#000003668,27-539-572-9175
PERU,Manufacturer#3,979726,9826.29,"mwiz,wLGgc3R9jMGKfZsmYJoutnJjMfveQNQYE", slyly about the final instructions. slyly express ,Supplier#000054754,27-125-877-6341
PERU,Manufacturer#3,1654753,9826.29,"mwiz,wLGgc3R9jMGKfZsmYJoutnJjMfveQNQYE", slyly about the final instructions. slyly express ,Supplier#000054754,27-125-877-6341
PERU,Manufacturer#3,1519498,9825.42,NWMIe4v6koJZ3O6HH9qbDCN,"nal pinto beans. unusual, pending packages are slyly bold requests. fluffily ironic accounts pri",Supplier#000044514,27-326-783-1681
UNITED STATES,Manufacturer#5,1289980,9823.88,"W3FIPPzG02eF5K0sYdSddt,N", are slyly. regular accounts doubt bl,Supplier#000040005,34-993-730-2019
UNITED STATES,Manufacturer#1,1989966,9823.88,"W3FIPPzG02eF5K0sYdSddt,N", are slyly. regular accounts doubt bl,Supplier#000040005,34-993-730-2019
BRAZIL,Manufacturer#1,318763,9815.05,r9iXXcbD1WPJftD6BbeoLsY6P A6OfLFJ6QB9q9,ld excuses affix slyly above the,Supplier#000043767,12-566-739-4060
PERU,Manufacturer#5,1434985,9813.92,"2,UotevmzSV0uB Q3YjNeSS7mDC4vI6g,QV",ithely regular courts print quickly f,Supplier#000034986,27-928-649-3994
PERU,Manufacturer#4,1178034,9812.48,ZsTNXVjY6mqeQeYT4oW1vb KfBj0,ut the regular packages. quickly even foxes slee,Supplier#000003046,27-323-628-1319
CANADA,Manufacturer#2,1659516,9810.82,h3RVchUf8MzY46IzbZ0ng09,arefully express dependencies inside the even instructions sl,Supplier#000009549,13-892-235-6781
PERU,Manufacturer#5,1377400,9808.37,"Um1QS,1yS4NaO9jaMgsNitsSrRnc",refully. slyly special courts across the sentiments are closely fu,Supplier#000077401,27-269-969-4131
ARGENTINA,Manufacturer#1,28829,9806.69,"DAcagW5EKA6jhg2,d","hely. blithely unusual dolphins are. express, unusual deposits against the fluffily unu",Supplier#000028830,11-720-268-7507
BRAZIL,Manufacturer#2,591171,9801.91,"44yIRpzocKtkO3t04,ph7UK,ZVnXUm3HDtaHm", multipliers. fluffily pe,Supplier#000041182,12-798-897-1785
ARGENTINA,Manufacturer#5,11255,9799.5,kz GS88QbjXgCH749fWkMth5g cu,"es wake furiously final, regular requests. express, bold deposits are s",Supplier#000086256,11-499-416-3775
UNITED STATES,Manufacturer#3,363555,9799.46,OjTrCp0kwacPJAG9e8E1 tS,blithely even requests. final ,Supplier#000063556,34-656-433-6457
BRAZIL,Manufacturer#2,884320,9794.42,lBFsuZfRRUTipwNtkG,y even excuses cajole final accounts. furiously regular theodolites haggle. regular requests are ca,Supplier#000009329,12-966-117-5624
ARGENTINA,Manufacturer#2,352366,9794.35,"r2GLx7,5RPpL,tEJ3Vh4dCyAVQW  o77ovI0m",nusual ideas nag quickly slyly even deposits. quickly ironic theodo,Supplier#000027376,11-634-423-9163
ARGENTINA,Manufacturer#2,1421879,9792.91,U5YoqiGijfMswdjGDu,ns. carefully pending theodolites sleep blithely ironic foxes. special ,Supplier#000021880,11-317-652-3542
UNITED STATES,Manufacturer#5,1373057,9792.32,"h02mKUahD2Q01Qs9m,sB5x"," nag finally fluffily final accounts. ironic, regular packages",Supplier#000023084,34-311-951-3745
UNITED STATES,Manufacturer#4,728986,9789.58,bX8mLj9K56u,even decoys. instructions engage car,Supplier#000028987,34-854-531-4374
UNITED STATES,Manufacturer#5,1026018,9785.89,ssfIz13PNY6S32GmqR3F6nY5pRoVPGewfh,s. blithely regular requests slee,Supplier#000026019,34-565-168-5518
UNITED STATES,Manufacturer#4,1350979,9785.89,ssfIz13PNY6S32GmqR3F6nY5pRoVPGewfh,s. blithely regular requests slee,Supplier#000026019,34-565-168-5518
BRAZIL,Manufacturer#4,806403,9784.74,pcKozfWrhQQ6uXQGOi6rwlZPhN,its. furiously express accounts about the blithely regular dinos wake fluffi,Supplier#000031412,12-851-793-2508
BRAZIL,Manufacturer#4,151752,9783.31,"epA9Vyv1WFvJZ4N2KuPUgBeO40SqZDuJu,vk",counts affix boldly. carefully regular packages sleep. fluffily regular fox,Supplier#000051753,12-291-989-2402
CANADA,Manufacturer#1,165643,9782.71,QoGgEFn4NqX6tpi1p7G,unusual instructions. quickl,Supplier#000015646,13-125-730-8150
UNITED STATES,Manufacturer#4,458256,9779.85,"Ig x7 AsU,sda27UWa",ally special ideas are according to the furiously ,Supplier#000008265,34-831-958-1126
UNITED STATES,Manufacturer#5,1533219,9779.85,"Ig x7 AsU,sda27UWa",ally special ideas are according to the furiously ,Supplier#000008265,34-831-958-1126
ARGENTINA,Manufacturer#1,1045586,9777.09,YwSRcY6GHstMGHnHw4rn,"ent theodolites above the daring, regular packages wake furiously after the carefully ironic",Supplier#000095607,11-529-496-9692
ARGENTINA,Manufacturer#3,1395606,9777.09,YwSRcY6GHstMGHnHw4rn,"ent theodolites above the daring, regular packages wake furiously after the carefully ironic",Supplier#000095607,11-529-496-9692
ARGENTINA,Manufacturer#2,949909,9776.74,"XGWyJtNcDnRakRYwBGF2Gv9wm50rtkr4JtVO,8", platelets integrate furiously. slyly,Supplier#000074919,11-825-307-8254
PERU,Manufacturer#5,173013,9770.79,u6v8qjvovFa7,"uffily daring deposits. ironic warhorses haggle ironic, unusual requests? carefu",Supplier#000048017,27-217-960-3015
ARGENTINA,Manufacturer#1,1802530,9770.45,xhDWq4AedxhZAKoQh1tVDBJVq03u Pgqzel,"inal, ironic requests cajole idly platelets: slow accounts cajole fluffily blithely enticing de",Supplier#000027549,11-886-903-3833
PERU,Manufacturer#3,1503304,9769.41,aPLai5gfp8Gr3PrGGkM2iDkJB8rtGe,. furiously special theodolites are slyly: ironic notornis after the accounts use sly,Supplier#000078350,27-576-740-6471
CANADA,Manufacturer#1,783450,9766.32,xBR3m5eWSdV," packages sleep slyly. slyly final ideas against the dependencies integrate furiously express, fina",Supplier#000058472,13-618-539-6428
BRAZIL,Manufacturer#3,1910840,9762.82,"EDvGHn,D0infjcB5HAgD3xnpsve J9z,lGzf6ysb","sts breach furiously along the express, regular asymptotes. blithely busy packages sleep furiously f",Supplier#000010841,12-270-953-8383
ARGENTINA,Manufacturer#2,866424,9760.82,OlJK5 csNS6MBavjrAaqZc,sly express pinto beans. de,Supplier#000066425,11-623-979-1380
ARGENTINA,Manufacturer#3,1516394,9760.82,OlJK5 csNS6MBavjrAaqZc,sly express pinto beans. de,Supplier#000066425,11-623-979-1380
