cd_credit_rating,cd_dep_college_count,cd_dep_count,cd_dep_employed_count,cd_education_status,cd_gender,cd_marital_status,cd_purchase_estimate,cnt1,cnt2,cnt3,cnt4,cnt5,cnt6
Unknown,4,4,1,2 yr Degree,F,D,2000,1,1,1,1,1,1
Unknown,6,5,0,2 yr Degree,F,D,2000,1,1,1,1,1,1
Unknown,2,5,3,2 yr Degree,F,D,2000,1,1,1,1,1,1
Good,0,1,6,2 yr Degree,F,D,2500,1,1,1,1,1,1
Good,6,4,1,2 yr Degree,F,D,2500,1,1,1,1,1,1
Good,1,4,3,2 yr Degree,F,D,2500,1,1,1,1,1,1
Good,6,4,4,2 yr Degree,F,D,2500,1,1,1,1,1,1
High Risk,0,0,2,2 yr Degree,F,D,2500,1,1,1,1,1,1
High Risk,0,3,3,2 yr Degree,F,D,2500,1,1,1,1,1,1
High Risk,0,4,0,2 yr Degree,F,D,2500,1,1,1,1,1,1
High Risk,1,4,4,2 yr Degree,F,D,2500,1,1,1,1,1,1
High Risk,6,5,0,2 yr Degree,F,D,2500,1,1,1,1,1,1
High Risk,6,6,2,2 yr Degree,F,D,2500,1,1,1,1,1,1
High Risk,2,6,5,2 yr Degree,F,D,2500,1,1,1,1,1,1
Low Risk,1,0,4,2 yr Degree,F,D,2500,1,1,1,1,1,1
Low Risk,6,1,5,2 yr Degree,F,D,2500,1,1,1,1,1,1
Low Risk,2,2,0,2 yr Degree,F,D,2500,1,1,1,1,1,1
