30 days,31-60,61-90,91-120,>120 days,sm_type,substr,web_name
36409,29543,24319,19897,0,NEXT DAY,Both obvious tic,site_8
27011,22207,18258,15134,0,OVERNIGHT,Both obvious tic,site_0
26745,22436,18403,15003,0,OVERNIGHT,Both obvious tic,site_1
27243,22286,18092,15169,0,OVERNIGHT,Both obvious tic,site_2
27010,22333,18231,14900,0,OVERNIGHT,Both obvious tic,site_3
27109,22536,18082,14996,0,OVERNIGHT,Both obvious tic,site_4
26825,22195,18358,14893,0,OVERNIGHT,Both obvious tic,site_5
26845,22458,18249,14975,0,OVERNIGHT,Both obvious tic,site_6
27085,22337,18070,15048,0,OVERNIGHT,Both obvious tic,site_7
26900,22195,18184,15098,0,OVERNIGHT,Both obvious tic,site_8
27224,22212,18162,14975,0,REGULAR,Both obvious tic,site_0
26820,22164,18431,14935,0,REGULAR,Both obvious tic,site_1
27306,22188,18198,15028,0,REGULAR,Both obvious tic,site_2
27262,22161,18338,15077,0,REGULAR,Both obvious tic,site_3
27153,22223,18073,14902,0,REGULAR,Both obvious tic,site_4
27125,22240,18146,15043,0,REGULAR,Both obvious tic,site_5
27380,21950,18144,15050,0,REGULAR,Both obvious tic,site_6
26881,22271,18320,14813,0,REGULAR,Both obvious tic,site_7
26944,22164,18446,15188,0,REGULAR,Both obvious tic,site_8
27047,22235,18110,14743,0,TWO DAY,Both obvious tic,site_0
