avg_monthly_sales,d_moy,d_year,i_category,nsum,psum,sum_sales
5459077.824166667,2,2001,Women,3160165.09,3477863.67,2908952.28
5468049.61,2,2001,Shoes,3148455.84,3512594.45,2918541.05
5466309.940833333,2,2001,Women,3103061.56,3508261.55,2918532.92
5468197.218333334,2,2001,Music,3127402.36,3471759.84,2923531.14
5449907.6725,2,2001,Men,3121441.33,3504903.55,2905596.18
5449164.433333334,2,2001,Music,3120768.92,3503671.65,2906003.71
5418963.019166667,2,2001,Shoes,3124652.91,3456548.89,2882016.37
5404039.9366666665,2,2001,Shoes,3111295.86,3456188.32,2868258.75
5460524.864166667,2,2001,Children,3116407.45,3482771.23,2925243.58
5455302.3275,2,2001,Music,3117445.96,3489226.24,2921136.23
5451524.315,2,2001,Music,3104206.09,3482072.72,2918019.17
5410705.5,2,2001,Women,3101088.82,3475465.24,2881345.53
5446763.47,2,2001,Music,3135106.41,3481119.57,2918202.19
5441578.606666666,2,2001,Men,3107469.04,3493115.43,2913243.57
5405855.014166667,2,2001,Women,3136830.65,3487761.45,2884865.78
5383952.54,2,2001,Women,3080720.34,3424738.46,2865120.84
5387717.4825,2,2001,Children,3095154.41,3450166.37,2871602.57
5412899.2225,2,2001,Men,3062146.22,3472167.62,2897368.49
5434249.8758333335,2,2001,Children,3086414.54,3502775.37,2919728.42
5416402.3225,2,2001,Shoes,3117772.12,3479302.11,2903543.15
5395652.015833333,2,2001,Women,3076687.11,3476780.01,2885242.73
5486455.195833334,2,2001,Music,3142801.43,3495488.01,2976747.45
5449316.020833333,2,2001,Music,3134180.98,3447052.45,2939757.78
5389878.755833333,2,2001,Children,3074942.16,3452704.77,2885156.72
5378739.293333333,2,2001,Women,3059194.65,3446594.2,2882607.87
5382094.1625,2,2001,Shoes,3073838.69,3429534.68,2887838.03
5360845.504166666,2,2001,Men,3054582.76,3402887.59,2866959.56
5393726.2575,2,2001,Shoes,3089169.0,3417261.43,2900834.13
5348179.1975,2,2001,Shoes,3053878.95,3415169.1,2857232.44
5373672.3625,2,2001,Music,3074972.71,3423729.66,2886977.76
5315018.769166667,2,2001,Music,3044497.68,3424096.64,2831591.16
5384224.8925,2,2001,Music,3092374.53,3422976.83,2901950.38
5765986.845,6,2001,Children,3418389.51,3394828.11,3283775.71
5771631.030833334,4,2001,Children,3415435.32,3314211.07,3289510.67
5362278.818333333,2,2001,Music,3082312.73,3424132.57,2886026.9
5292224.9575,2,2001,Women,3027993.06,3398457.92,2821408.8
5290497.973333334,2,2001,Music,3021471.92,3377984.91,2819803.13
5319893.410833334,2,2001,Men,3042708.9,3374826.99,2849864.44
5325605.8675,2,2001,Women,3043212.59,3432066.22,2856111.81
5765986.845,4,2001,Children,3394828.11,3325912.19,3301710.15
