avg_monthly_sales,cc_name,d_moy,d_year,i_brand,i_category,nsum,psum,sum_sales
1447244.0616666668,California_2,2,2001,edu packamalg #2,Women,829470.94,845656.34,769761.87
1430579.3558333332,Hawaii/Alaska,2,2001,amalgimporto #2,Men,821294.77,838180.39,753178.53
1436583.9233333333,Mid Atlantic,2,2001,amalgscholar #2,Music,819244.91,856353.08,759374.02
1424451.0508333333,Hawaii/Alaska,2,2001,edu packedu pack #2,Shoes,818019.85,839111.51,747323.94
1449108.1091666666,North Midwest_3,2,2001,amalgscholar #2,Music,830608.2,856319.27,771983.16
1421126.0508333333,California,2,2001,exportiexporti #2,Children,833003.24,842171.64,744040.71
1428437.8708333333,NY Metro,2,2001,amalgexporti #2,Children,845141.74,834281.48,751438.03
1426624.5608333333,Mid Atlantic_3,2,2001,amalgexporti #2,Children,809996.15,850751.32,749684.9
1436456.5433333332,Mid Atlantic_3,2,2001,exportiimporto #2,Men,813816.14,852982.82,759578.27
1433111.2483333333,Hawaii/Alaska_2,2,2001,amalgexporti #2,Children,804231.93,866990.07,756370.83
1437983.3766666667,Mid Atlantic_2,2,2001,exportiimporto #2,Men,827267.78,852283.59,761430.33
1452063.2108333334,Mid Atlantic_3,2,2001,importoedu pack #2,Shoes,825901.55,857117.81,775782.2
1436589.505,Pacific Northwest_1,2,2001,amalgimporto #2,Men,795375.93,859669.45,760562.03
1442040.1283333334,Hawaii/Alaska,2,2001,edu packamalg #2,Women,831487.43,851662.16,766180.05
1436125.4675,NY Metro_3,2,2001,exportiimporto #2,Men,803608.66,858214.51,760298.09
1450004.3058333334,NY Metro_2,2,2001,importoedu pack #2,Shoes,828863.56,853793.45,774357.6
1444448.3016666668,Mid Atlantic_2,2,2001,importoedu pack #2,Shoes,842496.38,860713.85,769154.78
1417829.3391666666,NY Metro_2,2,2001,edu packedu pack #2,Shoes,816825.12,835160.23,742560.27
1443989.1258333332,California,2,2001,edu packamalg #2,Women,836046.79,855151.52,768862.58
1399471.7491666668,NY Metro_3,2,2001,importoscholar #2,Music,803787.86,816052.9,724577.01
1447800.0233333334,Pacific Northwest_1,2,2001,importoedu pack #2,Shoes,841791.47,846484.3,772966.85
1444632.7733333334,Hawaii/Alaska_2,2,2001,amalgscholar #2,Music,808804.82,858143.56,769843.77
1416182.0166666666,NY Metro_3,2,2001,exportiexporti #2,Children,800877.93,851797.93,741445.64
1414612.4508333334,NY Metro_3,2,2001,edu packexporti #2,Children,795095.9,837110.37,740044.55
1438265.4366666668,NY Metro_2,2,2001,amalgimporto #2,Men,827051.73,844801.68,763995.99
1447048.2,Hawaii/Alaska_2,2,2001,importoedu pack #2,Shoes,829240.07,881561.88,773131.42
1450627.0091666668,North Midwest_2,2,2001,importoedu pack #2,Shoes,818684.15,873310.08,777129.7
1442423.4291666667,NY Metro,2,2001,edu packamalg #2,Women,829038.46,869849.5,769312.92
1445216.5425,Mid Atlantic_1,2,2001,amalgscholar #2,Music,826403.77,839198.4,772241.8
1415298.6391666667,Pacific Northwest_2,2,2001,exportiexporti #2,Children,808584.87,836817.7,742401.71
1422281.8675,Hawaii/Alaska_2,2,2001,edu packedu pack #2,Shoes,799629.73,846465.79,749437.7
1450170.4433333334,North Midwest_3,2,2001,edu packamalg #2,Women,821911.73,863637.41,777364.95
1447990.8625,NY Metro_1,2,2001,importoedu pack #2,Shoes,837568.81,861050.64,775196.59
1443238.3991666667,Pacific Northwest,2,2001,edu packamalg #2,Women,832245.05,853825.06,770507.96
1439585.335,Hawaii/Alaska_1,2,2001,exportiimporto #2,Men,838040.41,850038.81,767197.96
1443035.8641666668,California_1,2,2001,amalgimporto #2,Men,822966.81,855176.06,770693.79
1416455.5,Mid Atlantic_2,2,2001,edu packexporti #2,Children,822515.84,832350.01,744632.77
1430993.165,Mid Atlantic_2,2,2001,amalgimporto #2,Men,813768.21,854563.28,759230.2
1467314.8283333334,California_1,2,2001,importoexporti #2,Children,831004.78,881445.89,795618.47
1414911.8433333333,Mid Atlantic_2,2,2001,edu packimporto #2,Men,813100.69,843472.7,743460.19
1417983.54,Mid Atlantic,2,2001,exportiedu pack #2,Shoes,803005.67,828392.77,746734.56
1444358.1416666666,North Midwest_2,2,2001,edu packamalg #2,Women,814928.0,872157.57,773117.71
1436497.1883333332,Pacific Northwest,2,2001,amalgimporto #2,Men,821090.72,865428.89,765372.48
1418957.2633333334,North Midwest_1,2,2001,exportiedu pack #2,Shoes,822159.04,835119.82,747955.34
1447246.4025,NY Metro,2,2001,amalgscholar #2,Music,843897.02,841880.48,776249.27
1450315.1141666668,Mid Atlantic,2,2001,edu packamalg #2,Women,831451.71,861733.37,779319.43
1440034.3158333334,Mid Atlantic_2,2,2001,amalgscholar #2,Music,823051.38,853064.66,769127.27
1418662.3416666666,California_2,2,2001,edu packexporti #2,Children,817963.29,826460.39,747789.21
1437808.0591666666,Pacific Northwest_2,2,2001,exportiimporto #2,Men,821165.77,857691.98,767126.61
1406816.48,NY Metro_3,2,2001,importoimporto #2,Men,804910.25,835217.2,736335.42
1448970.0883333334,North Midwest_1,2,2001,importoedu pack #2,Shoes,840242.35,856860.24,778528.8
1447973.7541666667,Mid Atlantic,2,2001,importoedu pack #2,Shoes,833482.47,849446.95,777650.95
1427807.5508333333,Pacific Northwest,2,2001,amalgexporti #2,Children,820516.46,854278.88,757549.64
1431970.4141666666,North Midwest_1,2,2001,amalgexporti #2,Children,826182.46,847655.73,761888.03
1427954.4591666667,NY Metro_1,2,2001,amalgexporti #2,Children,805836.77,844541.87,757892.4
1445994.3158333334,North Midwest_1,2,2001,amalgscholar #2,Music,831700.03,868668.66,776062.27
1432614.3633333333,Pacific Northwest,2,2001,exportiimporto #2,Men,815074.39,844099.32,762684.46
1445171.9233333333,Mid Atlantic_2,2,2001,edu packamalg #2,Women,820253.28,858722.81,775274.81
1424809.1516666666,Mid Atlantic_2,2,2001,edu packedu pack #2,Shoes,807892.06,836687.52,754914.75
1435731.8091666666,Hawaii/Alaska_2,2,2001,exportiimporto #2,Men,821512.42,858070.3,765920.4
